"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"VR9IP7XP","report",2015,"African Development Bank Group","Renewable Energy in Africa - Tanzania Country Profile","","","","","","",2015,"2021-02-19 14:40:20","2021-02-19T14:40:20Z",NA,"1–70","","",NA,NA,NA,NA,NA,"",NA,NA,"African Development Bank","Côte d'Ivoire",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Renewable Energy; Tanzania; Used in AfRA Ch1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SZX46N6X","report",2008,"Smith, M; de Groot, D; Perrot-Maîte, D; Bergkamp, G","Pay – Establishing payments for watershed services. Switzerland: IUCN, 2008.","","","","","","",2008,"2019-06-28 18:16:15","2019-06-28T18:16:15Z",NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,"IUCN","Gland Switzerland",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLD8K3MJ","journalArticle",NA,"Jacquelyn A. Ottman; Edwin R. Stafford; Hartman; L, Cathy","Avoiding green marketing myopia: way to improve consummer appeal for environmental preferable products.","","","","","","",NA,"2019-06-28 18:16:14","2019-06-28T18:16:14Z",NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296XCREY","journalArticle",2008,"Walker, N. J.; Schulze, R. E.","Climate change impacts on agro-ecosystem sustainability across three climate regions in the maize belt of South Africa","Agriculture, Ecosystems and Environment","","01678809","10.1016/j.agee.2007.09.001","","The Highveld region in South Africa is an important area for its food production for the nation, as 70% of country's cereal crops and 90% of the commercially grown maize is cultivated there. The sustainability of these agro-ecosystems is, therefore, of vital importance for the nation's food security. The western part of the Highveld is characterised by relatively low mean annual precipitation (MAP) and highly variable yields, and while rainfall increases towards the east, inter-annual yield variability remains high. Variability of yields is already a concern for agro-ecosystems and it is hypothesised that it could be exacerbated by future climate changes. A sustainability framework was used to assess the sustainability agro-ecosystems under plausible future climate scenarios. Three Quaternary Catchments were assessed ranging from relatively dry (MAP 432 mm) to relatively moist (MAP 903 mm). A sensitivity analysis of plausible scenarios was performed with incremental increases in temperature by 1, 2 or 3 °C, increases/decreases of rainfall by 10% and a doubling of pre-industrial atmospheric CO2 concentrations to 555 ppmv. From the present and nine plausible future climate scenarios which were modelled using CERES-Maize over a 44-year period, it is shown that climatic changes could have major negative effects on the already drier western, and therefore more vulnerable, areas of the South African Highveld. An increase in temperature increases the variability of yields in the relatively moist Piet Retief area (MAP 903 mm), while at the more sub-humid Bothaville, with a MAP of only 552 mm, the inter-annual variability remains the same but mean yield over 44 seasons is reduced by 30%. A simulated increase in temperature coupled with a doubling of CO2 increases the rate of soil organic nitrogen depletion from the agro-ecosystem. Therefore, long-term perspectives in regard to human well-being and ecological integrity need to be applied to policies and actions for sustainability of both commercial and smallholder agro-ecosystems, particularly, in the western Highveld. © 2007 Elsevier B.V. All rights reserved.",2008,"2019-06-28 18:16:13","2019-06-28T18:16:13Z",NA,"114–124","","1-2",124,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"Agro-ecosystem; Climate change; Food security; South Africa; Sustainability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MF2YVM58","journalArticle",2015,"Argañaraz, Juan P.; Gavier Pizarro, Gregorio; Zak, Marcelo; Landi, Marcos A.; Bellis, Laura M.","Human and biophysical drivers of fires in Semiarid Chaco mountains of Central Argentina","Science of the Total Environment","","18791026","10.1016/j.scitotenv.2015.02.081","","Fires are a recurrent disturbance in Semiarid Chaco mountains of central Argentina. The interaction of multiple factors generates variable patterns of fire occurrence in space and time. Understanding the dominant fire drivers at different spatial scales is a fundamental goal to minimize the negative impacts of fires. Our aim was to identify the biophysical and human drivers of fires in the Semiarid Chaco mountains of Central Argentina and their individual effects on fire activity, in order to determine the thresholds and/or ranges of the drivers at which fire occurrence is favored or disfavored. We used fire frequency as the response variable and a set of 28 potential predictor variables, which included climatic, human, topographic, biological and hydrological factors. Data were analyzed using Boosted Regression Trees, using data from near 10,500 sampling points. Our model identified the fire drivers accurately (75.6% of deviance explained). Although humans are responsible for most ignitions, climatic variables, such as annual precipitation, annual potential evapotranspiration and temperature seasonality were the most important determiners of fire frequency, followed by human (population density and distance to waste disposals) and biological (NDVI) predictors. In general, fire activity was higher at intermediate levels of precipitation and primary productivity and in the proximity of urban solid waste disposals. Fires were also more prone to occur in areas with greater variability in temperature and productivity. Boosted Regression Trees proved to be a useful and accurate tool to determine fire controls and the ranges at which drivers favor fire activity. Our approach provides a valuable insight into the ecology of fires in our study area and in other landscapes with similar characteristics, and the results will be helpful to develop management policies and predict changes in fire activity in response to different climate changes and development scenarios.",2015,"2019-06-28 18:16:12","2019-06-28T18:16:12Z",NA,"1–12","","",520,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"PMID: 25782079",NA,NA,NA,"Boosted Regression Trees; Chaco Serrano; Fire drivers; Fire ecology; Fire frequency; Semiarid Chaco; Sierras de C??rdoba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNTINCLM","book",2013,"Munang, Richard; Thiaw, Ibrahim; Alverson, Keith; Mumba, Musonda; Liu, Jian; Rivington, Mike","Climate change and Ecosystem-based Adaptation: A new pragmatic approach to buffering climate change impacts","","1877-3435","","","","The changing climate is no longer an abstract issue, and the realities of its impacts are being felt across the globe. Climate change is affecting millions of people, and thwarting their efforts to escape poverty. Against this harsh reality, it will be imperative to speed up the integration of climate risk considerations into policy, in order to ensure that development proceeds along pathways that are resilient to climate change. However, the questions as to the type of strategies, approaches and actions required still generate divergent views on the international policy arena. Closer attention to a broader spectrum of adaptation options is urgently needed. Approaches that go beyond words into actions with potential to informing and guiding policy practices are imperative and urgently needed. In particular Ecosystem-based Adaptation approaches have proved to provide flexible, cost effective and broadly applicable alternatives for reducing the impacts of climate change and as such are a critical tool at adaptation planners disposal for tackling the threats that climate change poses to peoples lives and livelihoods across the globe. ?? 2012 Elsevier B.V.",2013,"2019-06-28 18:16:11","2019-06-28T18:16:11Z",NA,"","67–71","",5,NA,NA,NA,NA,"1",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"DOI: 10.1016/j.cosust.2012.12.001",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPDGIEQV","journalArticle",2000,"O'Connor, David","GLOBAL CAPITAL FLOWS AND THE ENVIRONMENT IN THE 21ST CENTURY","","","","","","",2000,"2019-06-28 18:16:11","2019-06-28T18:16:11Z",NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JSSSGAQB","journalArticle",2002,"Bowen-jones, Evan; Brown, David; Robinson, Elizabeth","Assessment of the Solution-orientated research needed to promote a more in Central and West Africa","","","","","","The ‘bushmeat trade' is a highly complex issue with few, if any, general solutions. The general characteristics of the situation have been well researched, and because of the growing urgency of the issue it is now time to concentrate on the specifics from an action-oriented perspective. The bushmeat issue is not easily compartmentalised and, although this report uses a format fitting with the respective authors' expertise and examines the issue in terms of institutions and policy, biodiversity, and livelihood perspectives, many of the key questions remaining to be solved are crosscutting. Our approach was, therefore, to identify questions that need to be answered and prioritise these within the context of the reality of the situation in West and Central Africa. This region is probably the geographical area on which most has been written in recent years with regards the hunting of wild game. However, it should be recognised that the bushmeat problem is global, and that hunting in the Asian and American tropics shares many of the characteristics noted below, and warrants the same kind of attention. This analysis of characteristics was based on a literature review, which is attached as Appendix 1. 1.11general characteristics:",2002,"2019-06-28 18:16:09","2019-06-28T18:16:09Z",NA,"127","","January",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPXRR2FK","report",2016,"IPBES","Guide on the production and integration of assessments from and across all scales (deliverable 2 (a)) Report of the Executive Secretary on the implementation of the work programme 2014–2018","","","","","","",2016,"2019-06-28 18:16:05","2019-06-28T18:16:05Z",NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCM3Q9GE","journalArticle",2013,"Munang, Richard; Thiaw, Ibrahim; Alverson, Keith; Mumba, Musonda; Liu, Jian; Rivington, Mike","Climate change and Ecosystem-based Adaptation: A new pragmatic approach to buffering climate change impacts","Current Opinion in Environmental Sustainability","","18773435","10.1016/j.cosust.2012.12.001","http://dx.doi.org/10.1016/j.cosust.2012.12.001","The changing climate is no longer an abstract issue, and the realities of its impacts are being felt across the globe. Climate change is affecting millions of people, and thwarting their efforts to escape poverty. Against this harsh reality, it will be imperative to speed up the integration of climate risk considerations into policy, in order to ensure that development proceeds along pathways that are resilient to climate change. However, the questions as to the type of strategies, approaches and actions required still generate divergent views on the international policy arena. Closer attention to a broader spectrum of adaptation options is urgently needed. Approaches that go beyond words into actions with potential to informing and guiding policy practices are imperative and urgently needed. In particular Ecosystem-based Adaptation approaches have proved to provide flexible, cost effective and broadly applicable alternatives for reducing the impacts of climate change and as such are a critical tool at adaptation planners disposal for tackling the threats that climate change poses to peoples lives and livelihoods across the globe. ?? 2012 Elsevier B.V.",2013,"2019-06-28 18:16:04","2019-06-28T18:16:04Z",NA,"67–71","","1",5,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
