"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"4AEFXILM","journalArticle",2006,"Velthuis, Hayo H.W.; van Doorn, Adriaan","A century of advances in bumblebee domestication and the economic and environmental aspects of its commercialization for pollination","Apidologie","","0044-8435","10.1051/apido:2006019","http://dx.doi.org/10.1051/apido:2006019","","2006-06-24","2022-11-02 15:45:58","2022-11-02T15:45:58Z",NA,"421-451","","4","37",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; ipbes-pollination_chapter1","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAVJSI4P","journalArticle",2013,"Kennedy, Christina M.; Lonsdorf, Eric; Neel, Maile C.; Williams, Neal M.; Ricketts, Taylor H.; Winfree, Rachael; Bommarco, Riccardo; Brittain, Claire; Burley, Alana L.; Cariveau, Daniel; Carvalheiro, Luísa G.; Chacoff, Natacha P.; Cunningham, Saul A.; Danforth, Bryan N.; Dudenhöffer, Jan-Hendrik; Elle, Elizabeth; Gaines, Hannah R.; Garibaldi, Lucas A.; Gratton, Claudio; Holzschuh, Andrea; Isaacs, Rufus; Javorek, Steven K.; Jha, Shalene; Klein, Alexandra M.; Krewenka, Kristin; Mandelik, Yael; Mayfield, Margaret M.; Morandin, Lora; Neame, Lisa A.; Otieno, Mark; Park, Mia; Potts, Simon G.; Rundlöf, Maj; Saez, Agustin; Steffan-Dewenter, Ingolf; Taki, Hisatomo; Viana, Blandina Felipe; Westphal, Catrin; Wilson, Julianna K.; Greenleaf, Sarah S.; Kremen, Claire","A global quantitative synthesis of local and landscape effects on wild bee pollinators in agroecosystems","Ecology Letters","","1461-023X","10.1111/ele.12082","http://dx.doi.org/10.1111/ele.12082","","2013-03-11","2022-11-02 15:45:57","2022-11-02T15:45:57Z",NA,"584-599","","5","16",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; Agri-environment schemes; Diversified farming system; Ecologically scaled landscape index; Ecosystem services; Ecosystem services Landscape ecology Pollination; Farm management; Habitat fragmentation; Landscape structure; Organic farming; Pollinators; ipbes-pollination_chapter1","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TU734YAM","journalArticle",2009,"Winfree, Rachael; Aguilar, Ramiro; Vázquez, Diego P.; LeBuhn, Gretchen; Aizen, Marcelo A.","A meta-analysis of bees' responses to anthropogenic disturbance","Ecology","","0012-9658","10.1890/08-1245.1","http://dx.doi.org/10.1890/08-1245.1","","2009-08","2022-11-02 15:45:56","2022-11-02T15:45:56Z",NA,"2068-2076","","8","90",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; ipbes-pollination_chapter1","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB2PKK5Q","journalArticle",2009,"Morales, Carolina Laura; Traveset, Anna","A meta-analysis of impacts of alien vs. native plants on pollinator visitation and reproductive success of co-flowering native plants","Ecology Letters","","1461-023X","10.1111/j.1461-0248.2009.01319.x","http://dx.doi.org/10.1111/j.1461-0248.2009.01319.x","","2009-07","2022-11-02 15:45:56","2022-11-02T15:45:56Z",NA,"716-728","","7","12",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; Competition; Exotic plants; Facilitation; Phenotypic similarity; Phylogenetic meta-analysis; Phylogenetic relatedness; Plant abundance; Plant-plant interactions; Pollination","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASLWNZNG","journalArticle",2008,"Cane, James H.","A native ground-nesting bee (Nomia melanderi) sustainably managed to pollinate alfalfa across an intensively agricultural landscape","Apidologie","","0044-8435","10.1051/apido:2008013","http://dx.doi.org/10.1051/apido:2008013","","2008-04-10","2022-11-02 15:45:55","2022-11-02T15:45:55Z",NA,"315-323","","3","39",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239272EF","journalArticle",2007,"Cox-Foster, D. L.; Conlan, S.; Holmes, E. C.; Palacios, G.; Evans, J. D.; Moran, N. A.; Quan, P.-L.; Briese, T.; Hornig, M.; Geiser, D. M.; Martinson, V.; vanEngelsdorp, D.; Kalkstein, A. L.; Drysdale, A.; Hui, J.; Zhai, J.; Cui, L.; Hutchison, S. K.; Simons, J. F.; Egholm, M.; Pettis, J. S.; Lipkin, W. I.","A Metagenomic Survey of Microbes in Honey Bee Colony Collapse Disorder","Science","","0036-8075","10.1126/science.1146498","http://dx.doi.org/10.1126/science.1146498","","2007-10-12","2022-11-02 15:45:55","2022-11-02T15:45:55Z",NA,"283-287","","5848","318",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; ipbes-pollination_chapter1","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6EH3LZ3H","journalArticle",2010,"Howlett, B. G.; Donovan, B. J.","A review of New Zealand's deliberately introduced bee fauna: current status and potential impacts","New Zealand Entomologist","","0077-9962","10.1080/00779962.2010.9722196","http://dx.doi.org/10.1080/00779962.2010.9722196","","2010-02","2022-11-02 15:45:54","2022-11-02T15:45:54Z",NA,"92-101","","1","33",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; Agroecosystems; Apis; Bee competition; Pollination; Varroa","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TSSYRKLK","journalArticle",2012,"Boggs, Carol L.; Inouye, David W.","A single climate driver has direct and indirect effects on insect population dynamics","Ecology Letters","","1461-023X","10.1111/j.1461-0248.2012.01766.x","http://dx.doi.org/10.1111/j.1461-0248.2012.01766.x","","2012-03-14","2022-11-02 15:45:54","2022-11-02T15:45:54Z",NA,"502-508","","5","15",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; Climate; Density-dependent indirect effects; Erigeron; Flower phenology; Frost; Lepidoptera; Pollinator; Snow melt timing; Speyeria; Weather","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29B9GN3P","journalArticle",2010,"Alaux, Cédric; Ducloz, François; Crauser, Didier; Le Conte, Yves","Diet effects on honeybee immunocompetence","Biology Letters","","1744-9561","10.1098/rsbl.2009.0986","http://dx.doi.org/10.1098/rsbl.2009.0986","","2010-08-23","2022-11-02 15:45:53","2022-11-02T15:45:53Z",NA,"562-565","","4","6",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"#nosource; diet; honeybee; immunocompetence; pollen; social immunity","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RWDZ5KXQ","journalArticle",2014,"Fürst, M A; McMahon, D P; Osborne, J L; Paxton, R J; Brown, M J F","Disease associations between honeybees and bumblebees as a threat to wild pollinators.","Nature","","1476-4687","10.1038/nature12977","http://www.ncbi.nlm.nih.gov/pubmed/24553241%0Ahttp://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=PMC3985068","Emerging infectious diseases (EIDs) pose a risk to human welfare, both directly and indirectly, by affecting managed livestock and wildlife that provide valuable resources and ecosystem services, such as the pollination of crops. Honeybees (Apis mellifera), the prevailing managed insect crop pollinator, suffer from a range of emerging and exotic high-impact pathogens, and population maintenance requires active management by beekeepers to control them. Wild pollinators such as bumblebees (Bombus spp.) are in global decline, one cause of which may be pathogen spillover from managed pollinators like honeybees or commercial colonies of bumblebees. Here we use a combination of infection experiments and landscape-scale field data to show that honeybee EIDs are indeed widespread infectious agents within the pollinator assemblage. The prevalence of deformed wing virus (DWV) and the exotic parasite Nosema ceranae in honeybees and bumblebees is linked; as honeybees have higher DWV prevalence, and sympatric bumblebees and honeybees are infected by the same DWV strains, Apis is the likely source of at least one major EID in wild pollinators. Lessons learned from vertebrates highlight the need for increased pathogen control in managed bee species to maintain wild pollinators, as declines in native pollinators may be caused by interspecies pathogen transmission originating from managed pollinators.","2014","2022-11-02 15:45:52","2022-11-02T15:45:52Z",NA,"364–6","","7488","506",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"PMID: 24553241",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
