"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"7QYQA6FS","journalArticle",2014,"Pettorelli, Nathalie; Laurance, William F.; O'Brien, Timothy G.; Wegmann, Martin; Nagendra, Harini; Turner, Woody","Satellite remote sensing for applied ecologists: Opportunities and challenges","Journal of Applied Ecology","","13652664","10.1111/1365-2664.12261","http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12261/abstract","Summary: Habitat loss and degradation, overexploitation, climate change and the spread of invasive species are drastically depleting the Earth's biological diversity, leading to detrimental impacts on ecosystem services and human well-being. Our ability to monitor the state of biodiversity and the impacts of global environmental change on this natural capital is fundamental to designing effective adaptation and mitigation strategies for preventing further loss of biological diversity. This requires the scientific community to assess spatio-temporal changes in the distribution of abiotic conditions (e.g. temperature, rainfall) and in the distribution, structure, composition and functioning of ecosystems. The potential for satellite remote sensing (SRS) to provide key data has been highlighted by many researchers, with SRS offering repeatable, standardized and verifiable information on long-term trends in biodiversity indicators. SRS permits one to address questions on scales inaccessible to ground-based methods alone, facilitating the development of an integrated approach to natural resource management, where biodiversity, pressures to biodiversity and consequences of management decisions can all be monitored. Synthesis and applications. Here, we provide an interdisciplinary perspective on the prospects of satellite remote sensing (SRS) for ecological applications, reviewing established avenues and highlighting new research and technological developments that have a high potential to make a difference in environmental management. We also discuss current barriers to the ecological application of SRS-based approaches and identify possible ways to overcome some of these limitations. © 2014 British Ecological Society.",2014,"2022-10-11 14:41:51","2022-10-11T14:41:51Z",NA,"839–848","","4",51,NA,NA,"Satellite remote sensing for applied ecologists",NA,"",NA,NA,"","","en",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Biodiversity; Earth observations; Environmental management; Natural capital; Sensor; Technology; Wildlife management","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N9BQ9NA2","book",2006,"Sampson, D. B.; Smith, T. D.","Scaling Fisheries: The Science of Measuring the Effects of Fishing, 1855-1955.","","978-0-511-47086-8","","","http://ebooks.cambridge.org.ezproxy.is.ed.ac.uk/ebook.jsf?bid=CBO9780511470868","Partial Contents: 1. Fluctuations, the very essence of ecosystems – 2. Research approaches, 1855-1890 – 3. Measuring the effect of fishing, 1890-1900 – 4. The International Council for the Exploration of the Sea, 1900-1920 – 5. Predicting fluctuations, 1920-1930 – 6. A priori methods, 1930-1940 – 7. Middling in size – 8. How many parents are enough? – 9. Steady state yield – 10. Integration: self-regenerating populations and the bionomic ecosystem.",2006,"2022-10-11 14:41:51","2022-10-11T14:41:51Z",NA,"","673","",32,NA,NA,"",NA,"3",NA,NA,"Cambridge University Press","Cambridge, England","",NA,NA,NA,NA,NA,NA,"DOI: 10.2307/2404668",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4HPG5CL","journalArticle",2008,"Suding, Katharine N.; Lavorel, Sandra; Chapin, F. S.; Cornelissen, Johannes H.C.; Díaz, Sandra; Garnier, Eric; Goldberg, Deborah; Hooper, David U.; Jackson, Stephen T.; Navas, Marie Laure","Scaling environmental change through the community-level: A trait-based response-and-effect framework for plants","Global Change Biology","","13541013","10.1111/j.1365-2486.2008.01557.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2008.01557.x/pdf","Predicting ecosystem responses to global change is a major challenge in ecology. A critical step in that challenge is to understand how changing environmental conditions influence processes across levels of ecological organization. While direct scaling from individual to ecosystem dynamics can lead to robust and mechanistic predictions, new approaches are needed to appropriately translate questions through the community level. Species invasion, loss, and turnover all necessitate this scaling through community processes, but predicting how such changes may influence ecosystem function is notoriously difficult. We suggest that community-level dynamics can be incorporated into scaling predictions using a trait-based response-effect framework that differentiates the community response to environmental change (predicted by response traits) and the effect of that change on ecosystem processes (predicted by effect traits). We develop a response-and-effect functional framework, concentrating on how the relationships among species' response, effect, and abundance can lead to general predictions concerning the magnitude and direction of the influence of environmental change on function. We then detail several key research directions needed to better scale the effects of environmental change through the community level. These include (1) effect and response trait characterization, (2) linkages between response-and-effect traits, (3) the importance of species interactions on trait expression, and (4) incorporation of feedbacks across multiple temporal scales. Increasing rates of extinction and invasion that are modifying communities worldwide make such a research agenda imperative. © 2008 The Authors Journal compilation © 2008 Blackwell Publishing Ltd.",2008,"2022-10-11 14:41:51","2022-10-11T14:41:51Z",NA,"1125–1140","","5",14,NA,NA,"",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Community dynamics; Diversity; Ecosystem responses; Effect and response framework; Functional traits; Global change; Leaf-level scaling; Physiology","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5XGJJZG8","book",2014,"Various","Save our Species","","","","","http://www.sospecies.org/","",2014,"2022-10-11 14:41:51","2022-10-11T14:41:51Z",NA,"","","",NA,NA,NA,"",NA,"December",NA,NA,"http://www.sospecies.org/","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FQNK7Z2G","journalArticle",2006,"Cash, David W.; Adger, W. Neil; Berkes, Fikret; Garden, Po; Lebel, Louis; Olsson, Per; Pritchard, Lowell; Young, Oran","Scale and Cross-Scale Dynamics: Governance and Information in a Multilevel World","Ecology and Society","","1708-3087","10.5751/ES-01759-110208","http://www.ecologyandsociety.org/vol11/iss2/art8/","The empirical evidence in the papers in this special issue identifies pervasive and difficult cross-scale and cross-level interactions in managing the environment. The complexity of these interactions and the fact that both scholarship and management have only recently begun to address this complexity have provided the impetus for us to present one synthesis of scale and cross-scale dynamics. In doing so, we draw from multiple cases, multiple disciplines, and multiple perspectives. In this synthesis paper, and in the accompanying cases, we hypothesize that the dynamics of cross-scale and cross-level interactions are affected by the interplay between institutions at multiple levels and scales. We suggest that the advent of co-management structures and conscious boundary management that includes knowledge co-production, mediation, translation, and negotiation across scale-related boundaries may facilitate solutions to complex problems that decision makers have historically been unable to solve.",2006,"2022-10-11 14:41:51","2022-10-11T14:41:51Z",NA,"art8","","2",11,NA,NA,"Scale and cross-scale dynamics: governance and inf",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PGFZCY6C","journalArticle",2013,"Turner, Woody","Satellites: Make data freely accessible","Nature","","0028-0836","10.1038/498037c","http://www.nature.com/nature/journal/v498/n7452/full/498037a.html","The cost of accessing satellite data is hampering the widespread application of satellite monitoring, a vital tool for controlling deforestation (Jim Lynch et al. Nature 496, 293–294; 2013) and for biodiversity assessments. We urge government agencies that produce taxpayer-funded satellite images to make these available free of charge and in user-friendly formats. Lynch and colleagues' call for daily satellite observations of forests worldwide would mean aggregating information from numerous satellites that are operated by many countries. Assembling the large data sets needed for global monitoring would be prohibitively expensive, however, because national governments do not have a free-access policy for their satellite images. One solution would be to combine data from the US Landsat satellites with those from the European Space Agency's planned Sentinel-2 satellites, which could deliver optical imagery with global coverage every 3–5 days. The distribution of Landsat imagery has increased by two orders of magnitude since 2008, when the US Geological Survey made all the data free to access online. Data from NASA's MODIS and all of their Earth-observation imagery are also available for free, as are data from the China–Brazil Earth Resources Satellite programme.",2013,"2022-10-11 14:41:51","2022-10-11T14:41:51Z",NA,"37–37","","7452",498,NA,NA,"Alien species",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7J6Y5IKK","journalArticle",2003,"Peterson, Garry D.; Cumming, Graeme S.; Carpenter, Stephen R.","Scenario planning: A tool for conservation in an uncertain world","Conservation Biology","","08888892","10.1046/j.1523-1739.2003.01491.x","","Conservation decisions about how, when, and where to act are typically based on our expectations for the future. When the world is highly unpredictable and we are working from a limited range of expectations, however, our expectations will frequently be proved wrong. Scenario planning offers a framework for developing more resilient conservation policies when faced with uncontrollable, irreducible uncertainty. A scenario in this context is an account of a plausible future. Scenario planning consists of using a few contrasting scenarios to explore the uncertainty surrounding the future consequences of a decision. Ideally, scenarios should be constructed by a diverse group of people for a single, stated purpose. Scenario planning can incorporate a variety of quantitative and qualitative information in the decision-making process. Often, consideration of this diverse information in a systemic way leads to better decisions. Furthermore, the participation of a diverse group of people in a systemic process of collecting, discussing, and analyzing scenarios builds shared understanding. The robustness provided by the consideration of multiple possible futures has served several groups well; we present examples from business, government, and conservation planning that illustrate the value of scenario planning. For conservation, major benefits of using scenario planning are (1) increased understanding of key uncertainties, (2) incorporation of alternative perspectives into conservation planning, and (3) greater resilience of decisions to surprise.",2003,"2022-10-11 14:41:50","2022-10-11T14:41:50Z",NA,"358–366","","2",17,NA,NA,"",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B6BBNAVU","journalArticle",2007,"Yu, G. R; Wu, J. G; Zhang, N.; Yu, Z. L","Scaling up ecosystem productivity from patch to landscape: a case study of Changbai Mountain Nature Reserve, China","Landscape Ecology","","","","http://journals.scholarsportal.info/details.xqy?uri=/09212973/v22i0002/303_suepfpocmnrc.xml","Scaling up ecosystem processes from plots to landscapes is essential for understanding landscape structure and functioning as well as for assessing ecological impacts of land use and climate change. This study illustrates an upscaling approach to studying the spatiotemporal pattern of ecosystem processes in the Changbai Mountain Nature Reserve in northeastern China by integrating simulation modeling, GIS, remote sensing data, and field-based observations. The ecosystem model incorporated processes of energy transfer, plant physiology, carbon dynamics, and water cycling. Using a direct extrapolation scheme, the patch-level ecosystem model was scaled up to quantify the landscape-level pattern of primary productivity and the carbon source-sink relationship. The simulated net primary productivity (NPP) for the entire landscape, consisting of several ecosystem types, was 0.680 kg C m(-2) yr(-1). The most widely distributed ecosystem type in this region was the mixed broad-leaved and Korean pine (Pinus koraiensis) forest, which had the highest NPP (1.084 kg C m(-2) yr(-1)). The total annual NPP for all ecosystem types combined was estimated to be 1.332 Mt C yr(-1). These results suggest that the Changbai Mountain landscape as a whole was a carbon sink, with a net carbon sequestration rate of about 0.884 Mt C yr(-1) for the study period. The simulated NPP agreed reasonably well with available field measurements at a number of locations within the study landscape. Our study provides new insight into the relationship between landscape pattern and ecosystem processes, and useful information for improving management practices in the Changbai Mountain Nature Reserve, which is one of the most important forested landscapes in China. Several research needs are discussed to further refine the modeling approach and reduce prediction uncertainties.",2007,"2022-10-11 14:41:50","2022-10-11T14:41:50Z",NA,"303–315","","2",22,NA,NA,"",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L6BBMSEL","book",2011,"Chermack, Thomas J.","Scenario Planning in Organizations: How to Create, Use, and Assess Scenarios (Publication in the Berrett-Koehler Organizational Performance)","","1-60509-413-7","","","http://www.amazon.com/Scenario-Planning-Organizations-Berrett-Koehler-Organizational/dp/1605094137","",2011,"2022-10-11 14:41:50","2022-10-11T14:41:50Z",NA,"","288","",NA,NA,NA,"",NA,"",NA,NA,"Berrett-Koehler Publishers, Inc.","San Francisco, USA","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DQEI6W5F","journalArticle",2012,"Thompson, Jonathan R.; Wiek, Arnim; Swanson, Frederick J.; Carpenter, Stephen R.; Fresco, Nancy; Hollingsworth, Teresa; Spies, Thomas A.; Foster, David R.","Scenario Studies as a Synthetic and Integrative Research Activity for Long-Term Ecological Research","BioScience","","0006-3568","10.1525/bio.2012.62.4.8","http://bioscience.oxfordjournals.org/cgi/doi/10.1525/bio.2012.62.4.8http://bioscience.oxfordjournals.org/content/62/4/367.full.pdf","Scenario studies have emerged as a powerful approach for synthesizing diverse forms of research and for articulating and evaluating alternative socioecological futures. Unlike predictive modeling, scenarios do not attempt to forecast the precise or probable state of any variable at a given point in the future. Instead, comparisons among a set of contrasting scenarios are used to understand the systemic relationships and dynamics of complex socioecological systems and to define a range of possibilities and uncertainties in quantitative and qualitative terms. We describe five examples of scenario studies affiliated with the US Long Term Ecological Research (LTER) Network and evaluate them in terms of their ability to advance the LTER Network's capacity for conducting science, promoting social and ecological science synthesis, and increasing the saliency of research through sustained outreach activities. We conclude with an argument that scenario studies should be advanced programmatically within large socioecological research programs to encourage prescient thinking in an era of unprecedented global change.",2012,"2022-10-11 14:41:49","2022-10-11T14:41:49Z",NA,"367–376","","4",62,NA,NA,"Scenario Studies as a Synthetic and Integrative Re",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"address the complex; and will contribute to; challenges that society faces; expectation that research will; futures; gies that sustain the; participatory engagement; science synthesis; socioecological; socioecological systems; strate-; vitality and integrity of","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
