"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"7W8LXBTN","journalArticle",2013,"UNCCD","Land degradation neutrality. Resilience at local, national and regional levels.","","","","978-92-650-43-77-0","www.unccd.int","",2013,"2019-06-28 13:22:11","2019-06-28T13:22:11Z","","24pp","","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Land degradation; Resilience; Used in AfRA Ch1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VMZX3BVN","journalArticle",2013,"Mouquet, Nicolas; Gravel, Dominique; Massol, François; Calcagno, Vincent","Extending the concept of keystone species to communities and ecosystems","Ecology Letters","","1461023X","10.1111/ele.12014","","Keystone species are defined as having disproportionate importance in their community. This concept has proved useful and is now often used in conservation ecology. Here, we introduce the concept of keystone communities (and ecosystems) within metacommunities (and metaecosystems). We define keystone and burden communities as communities with impacts disproportionately large (positive or negative respectively) relative to their weight in the metacommunity. We show how a simple metric, based on the effects of single-community removals, can characterise communities along a 'keystoneness' axis. We illustrate the usefulness of this approach with examples from two different theoretical models. We further distinguish environmental heterogeneity from species trait heterogeneity as determinants of keystoneness. We suggest that the concept of keystone communities/ecosystems will be highly beneficial, not only as a fundamental step towards understanding species interactions in a spatial context, but also as a tool for the management of disturbed landscapes.",2013,"2019-06-28 13:22:10","2019-06-28T13:22:10Z","","1–8","","1","16",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"PMID: 23062191",NA,NA,NA,"Burden; Dispersal; Habitat destruction; Keystone; Metacommunity; Metaecosystem; Patch dynamics; Source-sink; Used in AfRA Ch1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLMF2KM5","journalArticle",2012,"Lim, Stephen S.; Vos, Theo; Flaxman, Abraham D.; Danaei, Goodarz; Shibuya, Kenji; Adair-Rohani, Heather; Amann, Markus; Anderson, H. Ross; Andrews, Kathryn G.; Aryee, Martin; Atkinson, Charles; Bacchus, Loraine J.; Bahalim, Adil N.; Balakrishnan, Kalpana; Balmes, John; Barker-Collo, Suzanne; Baxter, Amanda; Bell, Michelle L.; Blore, Jed D.; Blyth, Fiona; Bonner, Carissa; Borges, Guilherme; Bourne, Rupert; Boussinesq, Michel; Brauer, Michael; Brooks, Peter; Bruce, Nigel G.; Brunekreef, Bert; Bryan-Hancock, Claire; Bucello, Chiara; Buchbinder, Rachelle; Bull, Fiona; Burnett, Richard T.; Byers, Tim E.; Calabria, Bianca; Carapetis, Jonathan; Carnahan, Emily; Chafe, Zoe; Charlson, Fiona; Chen, Honglei; Chen, Jian Shen; Cheng, Andrew Tai Ann; Child, Jennifer Christine; Cohen, Aaron; Colson, K. Ellicott; Cowie, Benjamin C.; Darby, Sarah; Darling, Susan; Davis, Adrian; Degenhardt, Louisa; Dentener, Frank; Des Jarlais, Don C.; Devries, Karen; Dherani, Mukesh; Ding, Eric L.; Dorsey, E. Ray; Driscoll, Tim; Edmond, Karen; Ali, Suad Eltahir; Engell, Rebecca E.; Erwin, Patricia J.; Fahimi, Saman; Falder, Gail; Farzadfar, Farshad; Ferrari, Alize; Finucane, Mariel M.; Flaxman, Seth; Fowkes, Francis Gerry R; Freedman, Greg; Freeman, Michael K.; Gakidou, Emmanuela; Ghosh, Santu; Giovannucci, Edward; Gmel, Gerhard; Graham, Kathryn; Grainger, Rebecca; Grant, Bridget; Gunnell, David; Gutierrez, Hialy R.; Hall, Wayne; Hoek, Hans W.; Hogan, Anthony; Hosgood, H. Dean; Hoy, Damian; Hu, Howard; Hubbell, Bryan J.; Hutchings, Sally J.; Ibeanusi, Sydney E.; Jacklyn, Gemma L.; Jasrasaria, Rashmi; Jonas, Jost B.; Kan, Haidong; Kanis, John A.; Kassebaum, Nicholas; Kawakami, Norito; Khang, Young Ho; Khatibzadeh, Shahab; Khoo, Jon Paul; Kok, Cindy; Laden, Francine; Lalloo, Ratilal; Lan, Qing; Lathlean, Tim; Leasher, Janet L.; Leigh, James; Li, Yang; Lin, John Kent; Lipshultz, Steven E.; London, Stephanie; Lozano, Rafael; Lu, Yuan; Mak, Joelle; Malekzadeh, Reza; Mallinger, Leslie; Marcenes, Wagner; March, Lyn; Marks, Robin; Martin, Randall; McGale, Paul; McGrath, John; Mehta, Sumi; Mensah, George A.; Merriman, Tony R.; Micha, Renata; Michaud, Catherine; Mishra, Vinod; Hanafiah, Khayriyyah Mohd; Mokdad, Ali A.; Morawska, Lidia; Mozaffarian, Dariush; Murphy, Tasha; Naghavi, Mohsen; Neal, Bruce; Nelson, Paul K.; Nolla, Joan Miquel; Norman, Rosana; Olives, Casey; Omer, Saad B.; Orchard, Jessica; Osborne, Richard; Ostro, Bart; Page, Andrew; Pandey, Kiran D.; Parry, Charles D H; Passmore, Erin; Patra, Jayadeep; Pearce, Neil; Pelizzari, Pamela M.; Petzold, Max; Phillips, Michael R.; Pope, Dan; Pope, C. Arden; Powles, John; Rao, Mayuree; Razavi, Homie; Rehfuess, Eva A.; Rehm, Jürgen T.; Ritz, Beate; Rivara, Frederick P.; Roberts, Thomas; Robinson, Carolyn; Rodriguez-Portales, Jose A.; Romieu, Isabelle; Room, Robin; Rosenfeld, Lisa C.; Roy, Ananya; Rushton, Lesley; Salomon, Joshua A.; Sampson, Uchechukwu; Sanchez-Riera, Lidia; Sanman, Ella; Sapkota, Amir; Seedat, Soraya; Shi, Peilin; Shield, Kevin; Shivakoti, Rupak; Singh, Gitanjali M.; Sleet, David A.; Smith, Emma; Smith, Kirk R.; Stapelberg, Nicolas J C; Steenland, Kyle; Stöckl, Heidi; Stovner, Lars Jacob; Straif, Kurt; Straney, Lahn; Thurston, George D.; Tran, Jimmy H.; Van Dingenen, Rita; Van Donkelaar, Aaron; Veerman, J. Lennert; Vijayakumar, Lakshmi; Weintraub, Robert; Weissman, Myrna M.; White, Richard A.; Whiteford, Harvey; Wiersma, Steven T.; Wilkinson, James D.; Williams, Hywel C.; Williams, Warwick; Wilson, Nicholas; Woolf, Anthony D.; Yip, Paul; Zielinski, Jan M.; Lopez, Alan D.; Murray, Christopher J L; Ezzati, Majid","A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: A systematic analysis for the Global Burden of Disease Study 2010","The Lancet","","01406736","10.1016/S0140-6736(12)61766-8","","Background Quantification of the disease burden caused by different risks informs prevention by providing an account of health loss different to that provided by a disease-by-disease analysis. No complete revision of global disease burden caused by risk factors has been done since a comparative risk assessment in 2000, and no previous analysis has assessed changes in burden attributable to risk factors over time. Methods We estimated deaths and disability-adjusted life years; DALYs; sum of years lived with disability [YLD] and years of life lost [YLL]) attributable to the independent effects of 67 risk factors and clusters of risk factors for 21 regions in 1990 and 2010. We estimated exposure distributions for each year, region, sex, and age group, and relative risks per unit of exposure by systematically reviewing and synthesising published and unpublished data. We used these estimates, together with estimates of cause-specific deaths and DALYs from the Global Burden of Disease Study 2010, to calculate the burden attributable to each risk factor exposure compared with the theoretical-minimum-risk exposure. We incorporated uncertainty in disease burden, relative risks, and exposures into our estimates of attributable burden. Findings In 2010, the three leading risk factors for global disease burden were high blood pressure (7 0% [95% uncertainty interval 6 2-7 7] of global DALYs); tobacco smoking including second-hand smoke (6 3% [5 5-7 0]), and alcohol use (5 5% [5 0-5 9]). In 1990, the leading risks were childhood underweight (7 9% [6 8-9 4]), household air pollution from solid fuels; (HAP; 7 0% [5 6-8 3]), and tobacco smoking including second-hand smoke (6 1% [5 4-6 8]). Dietary risk factors and physical inactivity collectively accounted for 10 0% (95% UI 9 2-10 8) of global DALYs in 2010, with the most prominent dietary risks being diets low in fruits and those high in sodium. Several risks that primarily affect childhood communicable diseases, including unimproved water and sanitation and childhood micronutrient deficiencies, fell in rank between 1990 and 2010, with unimproved water ' and sanitation accounting for 0 9% (0 4-1 6) of global DALYs in 2010. However, in most of sub-Saharan Africa childhood underweight, HAP, and non-exclusive and discontinued breastfeeding were the leading risks in 2010, while HAP was the leading risk in south Asia. The leading risk factor in Eastern Europe, most of Latin America, and southern sub-Saharan Africa in 2010 was alcohol use; in most of Asia, North Africa and Middle East, and central Europe it was high blood pressure. Despite declines, tobacco smoking including second-hand smoke remained the leading risk in high-income north America and western Europe. High body-mass index has increased globally and it is the leading risk in Australasia and southern Latin America, and also ranks high in other high-income regions, North Africa and Middle East, and Oceania. Interpretation Worldwide, the contribution of different risk factors to disease burden has changed substantially, with a shift away from risks for communicable diseases in children towards those for non-communicable diseases in adults. These changes are related to the ageing population, decreased mortality among children younger than 5 years, changes in cause-of-death composition, and changes in risk factor exposures. New evidence has led to changes in the magnitude of key risks including unimproved water and sanitation, vitamin A and zinc deficiencies, and ambient particulate matter pollution. The extent to which the epidemiological shift has occurred and what the leading risks currently are varies greatly across regions. In much of sub-Saharan Africa, the leading risks are still those associated with poverty and those that affect children.",2012,"2019-06-28 13:22:07","2019-06-28T13:22:07Z","","2224–2260","","9859","380",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"PMID: 23245609",NA,NA,NA,"Disease burden; Global scale; Poverty; Used in AfRA Ch1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIGRLUW2","journalArticle",2013,"Selig, Elizabeth R.; Longo, Catherine; Halpern, Benjamin S.; Best, Benjamin D.; Hardy, Darren; Elfes, Cristiane T.; Scarborough, Courtney; Kleisner, Kristin M.; Katona, Steven K.","Assessing Global Marine Biodiversity Status within a Coupled Socio-Ecological Perspective","PLoS ONE","","19326203","10.1371/journal.pone.0060284","","People value the existence of a variety of marine species and habitats, many of which are negatively impacted by human activities. The Convention on Biological Diversity and other international and national policy agreements have set broad goals for reducing the rate of biodiversity loss. However, efforts to conserve biodiversity cannot be effective without comprehensive metrics both to assess progress towards meeting conservation goals and to account for measures that reduce pressures so that positive actions are encouraged. We developed an index based on a global assessment of the condition of marine biodiversity using publically available data to estimate the condition of species and habitats within 151 coastal countries. Our assessment also included data on social and ecological pressures on biodiversity as well as variables that indicate whether good governance is in place to reduce them. Thus, our index is a social as well as ecological measure of the current and likely future status of biodiversity. As part of our analyses, we set explicit reference points or targets that provide benchmarks for success and allow for comparative assessment of current conditions. Overall country-level scores ranged from 43 to 95 on a scale of 1 to 100, but countries that scored high for species did not necessarily score high for habitats. Although most current status scores were relatively high, likely future status scores for biodiversity were much lower in most countries due to negative trends for both species and habitats. We also found a strong positive relationship between the Human Development Index and resilience measures that could promote greater sustainability by reducing pressures. This relationship suggests that many developing countries lack effective governance, further jeopardizing their ability to maintain species and habitats in the future.",2013,"2019-06-28 13:22:05","2019-06-28T13:22:05Z","","","","4","8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"PMID: 23593188",NA,NA,NA,"Biodiversity status; Human development index; Resilience; Used in AfRA CH1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APKYR7W8","journalArticle",2001,"Arimah, Ben C.","Slums as expression of social exclusion: Explaining the prevalence of slums in African countries","United Nations Human Settlements Programme","","","","http://www.oecd.org/dev/pgd/46837274.pdf","One of the most enduring physical manifestations of social exclusion in African cities is the proliferation of slums and informal settlements. People living in these settlements experience the most deplorable living and environmental conditions. They are also excluded from participating in the economic social, political and cultural spheres of the city. This paper accounts for differences in the prevalence of slums among African countries. The empirical analysis identifies substantial inter-country variations in the incidence of slums; and indicates that higher levels of income, greater financial stability and investment in infrastructure will reduce the incidence of slums and by extension— reduce social exclusion. Conversely, the external debt burden, high levels of inequality, unplanned and unmanaged urban growth, and the exclusionary nature of the regulatory framework governing the provision of planned residential land contribute to the prevalence of slums and squatter settlements— thus increasing levels of social exclusion.",2001,"2019-06-28 13:22:03","2019-06-28T13:22:03Z","","1–33","","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Informal settlement; Slums; Used in AfRA Ch1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YSTYNII9","book",2016,"Dimensions, Africa Home; What, Ifad Glossary; Ifad, Resources Events; Send, Print; Eastern, Middle Africa; Africa, Southern; Africa, North; Africa, Statistics; Desert, Sahara; States, United; Africa, Northern; Africa, Saharan; Africa, Saharan; Africa, Southern; Africa, Saharan","Rural poverty in Africa","","","","","","",2016,"2019-06-28 13:22:01","2019-06-28T13:22:01Z","2016-04-12 00:00:00","","4–5","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Rural poverty; Used in AfRA Ch1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MP6276SC","journalArticle",2014,"Shackleton, Ross T.; Le Maitre, David C.; Pasiecznik, Nick M.; Richardson, David M.","Prosopis: A global assessment of the biogeography, benefits, impacts and management of one of the world's worst woody invasive plant taxa","AoB PLANTS","","20412851","10.1093/aobpla/plu027","","Invasive species cause ecological, economic and social impacts and are key drivers of global change. This is the case for the genus Prosopis (mesquite; Fabaceae) where several taxa are among the world's most damaging invasive species. Many contentious issues ('conflicts of interest') surround these taxa, and management interventions have not yet sustainably reduced the negative impacts. There is an urgent need to better understand the factors that drive invasions and shape management actions, and to compare the effectiveness of different management approaches. This paper presents a global review of Prosopis, focusing on its distribution, impacts, benefits and approaches to management. Prosopis was found to occur in a 129 countries globally and many more countries are climatically suitable. All areas with naturalized or invasive Prosopis species at present are suitable for more taxa and many Asian and Mediterranean countries with no records of Prosopis are bioclimatically suitable. Several Prosopis species have substantial impacts on biodiversity, ecosystem services, and local and regional economies in their native and even more so in their invasive ranges; others provide multiple benefits to local communities. Management efforts are underway in only a small part of the invaded range. Countries where more research has been done are more likely to implement formal management than those where little published research is available. Management strategies differ among countries; developed nations use mainly mechanical and chemical control whereas developing nations tend to apply control through utilization approaches. A range of countries are also using biological control. Key gaps in knowledge and promising options for management are highlighted.",2014,"2019-06-28 13:22:00","2019-06-28T13:22:00Z","","1–18","","","6",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"PMID: 24899150",NA,NA,NA,"Classification and regression tree; Distribution; Global review; Impacts; Logistic regression; Management; Mesquite; Tree invasions; Used in AfRA Ch1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMG78WRM","report",2014,"GEF","GEF-6 Programming Directions","","","","","","",2014,"2019-06-28 13:21:57","2019-06-28T13:21:57Z","","1–215","","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Chemicals; Land degradation; Used in AfRA Ch1; Wastes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FTKHJ45Y","journalArticle",2005,"Kremen, Claire","Managing ecosystem services: What do we need to know about their ecology?","Ecology Letters","","1461023X","10.1111/j.1461-0248.2005.00751.x","","Human domination of the biosphere has greatly altered ecosystems, often overwhelming their capacity to provide ecosystem services critical to our survival. Yet ecological understanding of ecosystem services is quite limited. Previous work maps the supply and demand for services, assesses threats to them, and estimates economic values, but does not measure the underlying role of biodiversity in providing services. In contrast, experimental studies of biodiversity-function examine communities whose structures often differ markedly from those providing services in real landscapes. A bridge is needed between these two approaches. To develop this research agenda, I discuss critical questions and key approaches in four areas: (1) identifying the important 'ecosystem service providers'; (2) determining the various aspects of community structure that influence function in real landscapes, especially compensatory community responses that stabilize function, or non-random extinction sequences that rapidly erode it; (3) assessing key environmental factors influencing provision of services, and (4) measuring the spatio-temporal scale over which providers and services operate. I show how this research agenda can assist in developing environmental policy and natural resource management plans.",2005,"2019-06-28 13:21:53","2019-06-28T13:21:53Z","","468–479","","5","8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"PMID: 21352450",NA,NA,NA,"Adaptive management; Community structure; Conservation planning; Diversity-function; Ecological economics; Ecosystem function; Functional structure; Natural resource management; Redundancy; Resilience; Used in AfRA Ch1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AQ4N9GQV","journalArticle",2016,"Publications, Sage","Armed Conflict and the Environment : A Critique of the Literature Author ( s ): Nils Petter Gleditsch Source : Journal of Peace Research , Vol . 35 , No . 3 , Special Issue on Environmental Conflict Stable URL : http://www.jstor.org/stable/424942 Accessed","Journal of Peace Research","","","","http://www.jstor.org/stable/424942","Conflict over scarce resources, such as minerals, fish, water, and particularly territory, is a traditional source of armed struggle. Recently, wideranging claims have been made to the effect that environmen- tal degradation will increase resource scarcity and therefore contribute to an increase in armed conflict. So far, there has been much controversy and little relevant systematic study of this phenomenon. Most scholarship on the relationship between resources, the environment, and armed conflict suffers from one or more of the following problems: (1) there is a lack of clarity over what is meant by 'environ- mental conflict'; (2) researchers engage in definitional and polemical exercises rather than analysis; (3) important variables are neglected, notably political and economic factors which have a strong influence on conflict and mediate the influence of resource and environmental factors; (4) some models become so large and complex that they are virtually untestable; (5) cases are selected on values of the dependent variable; (G) the causality of the relationship is reversed; (7) postulated events in the future are cited as empirical evidence; (8) studies fail to distinguish between foreign and domestic conflict; and (9) con- fusion reigns about the appropriate level of analysis. While no publications are characterized by all of these problems, many have several of them. This article identifies a few lights in the wilderness and briefly outlines a program of research. War,",2016,"2019-06-28 13:21:51","2019-06-28T13:21:51Z","","381–400","","3","35",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Armed conflicts; Environmental degradation; Used in AfRA Ch1; Vulnerability",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
