"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"Q9YIVJ99","journalArticle",2011,"Rice, Jake; Gjerde, Kristina M.; Ardron, Jeff; Arico, Salvatore; Cresswell, Ian; Escobar, Elva; Grant, Susie; Vierros, Marjo","Policy relevance of biogeographic classification for conservation and management of marine biodiversity beyond national jurisdiction, and the GOODS biogeographic classification","Ocean and Coastal Management","","09645691","10.1016/j.ocecoaman.2010.10.010","ftp://ftp.aoml.noaa.gov/pub/od/library/policy-rice.pdf","This article 1) examines the policy context that created a demand for biogeographic information, 2) describes early national and regional experiences in applying biogeographic classifications, 3) extracts lessons about their usefulness, 4) introduces a broad-scale biogeographic classification for the open ocean and deep seabed called the Global Open Ocean and Deep Seabed (GOODS) biogeographic classification and explains its relevance in this policy context. In so doing it highlights potential uses of biogeographic classifications for the open ocean and deep seabed: these include ecosystem-based management approaches, marine spatial planning and identification of representative networks of MPAs. It also discusses approaches for dealing with problems of uncertainty and connectivity. The article concludes with recommendations for the further development of the GOODS and finer-scale biogeographic classifications. © 2010 .","2011","2019-07-02 08:46:08","2019-07-02T08:46:08Z",NA,"110–122","","2","54",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y9FK6YGA","journalArticle",2018,"Vörösmarty, C. J.; Rodríguez Osuna, V.; Koehler, D. A.; Klop, P.; Spengler, J. D.; Buonocore, J. J.; Cak, A. D.; Tessler, Z. D.; Corsi, F.; Green, P. A.; Sánchez, R.","Scientifically assess impacts of sustainable investments: Metrics can inform investors wary of “green washing”","Science","","10959203","10.1126/science.aao3895","http://www.ncbi.nlm.nih.gov/pubmed/29420281","The practice of selecting and managing financial assets based on their social and environmental performance is undergoing rapid growth and fundamental change. Investors are increasingly pressed by asset owners to prove how one company's practices are materially more or less sustainable than those of another. Yet, the basic information that companies declare is hardly standardized and is difficult to verify, with unreliable assertions ( 1 ) that are widely criticized as “green washing.” Metrics are mainly restricted to documenting changes to internal business practices but offer limited guidance on whether a company's actions, products, and services promote human well-being or preserve environmental integrity in the external, real-world domain, fueling reluctance on the part of otherwise enthusiastic investors ( 2 , 3 ). It is here where science can play an important role. Our consortium of an asset owner, an asset manager, and two research universities is designing a next generation of traceable indicators to quantify external context and impact of investments and place these into a decision-making framework useful to investors. Tests of these science-based sustainability metrics are under way on a $2.1 billion portfolio of public equities invested on behalf of a large European pension fund.","2018-02","2019-07-02 08:46:06","2019-07-02T08:46:06Z",NA,"523–525","","6375","359",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"PMID: 29420281",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T58EZTG7","journalArticle",2011,"Ferraro, Paul J.; Miranda, Juan Jose; Price, Michael K.","The persistence of treatment effects with norm-based policy instruments: Evidence from a randomized environmental policy experiment","American Economic Review","","00028282","10.1257/aer.101.3.318","http://pubs.aeaweb.org/doi/10.1257/aer.101.3.318","The goal of our study is to examine how dif- ferent norm-based strategies influence long-run patterns of residential water use. In 2007, a water utility in metropolitan Atlanta, Georgia implemented a natural field experiment that randomized households into four treatments: a control group, a group that received technical advice, a group that received both technical advice and an appeal to prosocial preferences, and a group that received both technical advice and an appeal to prosocial preferences that included a social comparison (see Ferraro and Price 2009). For our purposes, the most important findings from Ferraro and Price (2009) are that (i) techni- cal advice has a negligible impact on behavior but (ii) augmenting such messages to include normative appeals and social comparisons leads to significant reductions in average water use in the four months after treatment assignment.","2011-05","2019-07-02 08:46:04","2019-07-02T08:46:04Z",NA,"318–322","","3","101",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XJ4RMBV5","journalArticle",2014,"Ostwald, Madelene; Henders, Sabine","Making two parallel land-use sector debates meet: Carbon leakage and indirect land-use change","Land Use Policy","","02648377","10.1016/j.landusepol.2013.09.012","http://linkinghub.elsevier.com/retrieve/pii/S0264837713001816","Several land-based policy options are discussed within the current quest for feasible climate change mitigation options, among them the creation and conservation of forest carbon sinks through mechanisms such as Reducing Emissions from Deforestation and Forest Degradation also called REDD+ and the substitution of fossil fuels through biofuels, as legislated in the EU Renewable Energy Directive. While those two policy processes face several methodological challenges, there is one issue that both processes encounter: the displacement of land use and the related emissions, which is referred to as carbon leakage in the context of emissions accounting, and indirect land-use change also called ILUC within the bioenergy realm. The debates surrounding carbon leakage and indirect land-use change issues run in parallel but are rather isolated from each other, without much interaction. This paper analyzes the similarities and differences as well as common challenges within these parallel debates by the use of peer-reviewed articles and reports, with a focus on approaches to address and methods to quantify emissions at national and international scale. The aim is to assess the potential to use synergies and learn from the two debates to optimize climate benefits. The results show that the similarities are many, while the differences between carbon leakage and ILUC are found in the actual commodity at stake and to some degree in the policy forum in which the debate is taken. The geographical scale, actors and parties involved also play a role. Both processes operate under the same theoretical assumption and face the same problem of lacking methods to quantify the emissions caused by international displacement. The approach to international displacement is one of the main differences; while US and EU biofuel policymakers acknowledge uncertainties in ILUC accounting but strive to reduce them, the United Nations Framework Convention on Climate Change excludes accounting for international carbon leakage. Potential explanations behind these differences lie in the liability issue and the underlying accounting principles of producer responsibility for carbon leakage and consumer responsibility for ILUC. This is also reflected on the level of lobby activities, where ILUC has reached greater public and policy interest than carbon leakage. Finally, a possible way forward for international leakage accounting in future climate treaties could be the adoption of accounting methods taking a consumer perspective, to be used alongside the existing set-up, which could improve climate integrity of land-based policies. © 2013 .","2014-01","2019-07-02 08:46:01","2019-07-02T08:46:01Z",NA,"533–542","","","36",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Carbon-accounting system; Climate policy; Forest conservation; Greenhouse-gas emissions; Land-use competition",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N55L4HC7","journalArticle",2009,"Meyfroidt, P.; Lambin, E. F.","Forest transition in Vietnam and displacement of deforestation abroad","Proceedings of the National Academy of Sciences","","0027-8424","10.1073/pnas.0904942106","http://www.pnas.org/cgi/doi/10.1073/pnas.0904942106","In some countries across the globe, tropical forest cover is increasing. The national-scale reforestation of Vietnam since 1992 is assumed to contribute to this recovery. It is achieved, however, by the displacement of forest extraction to other countries on the order of 49 (34–70) M m3, or ≈39% of the regrowth of Vietnam's forests from 1987 to 2006. Approximately half of wood imports to Vietnam during this period were illegal. Leakage due to policies restricting forest exploitation and displacement due to growing domestic consumption and exports contributed respectively to an estimated 58% and 42% of total displacement. Exports of wood products from Vietnam also grew rapidly, amounting to 84% of the displacement, which is a remarkable feature of the forest transition in Vietnam. Attribution of the displacement and corresponding forest extraction to Vietnam, the source countries or the final consumers is thus debatable. Sixty-one percent of the regrowth in Vietnam was, thus, not associated with displacement abroad. Policies allocating credits to countries for reducing deforestation and forest degradation should monitor illegal timber trade and take into account the policy-induced leakage of wood extraction to other countries.","2009-09","2019-07-02 08:46:00","2019-07-02T08:46:00Z",NA,"16139–16144","","38","106",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3IL3CBZ8","journalArticle",2012,"van Vuuren, Detlef P.; Kok, Marcel T.J.; Girod, Bastien; Lucas, Paul L.; de Vries, Bert","Scenarios in Global Environmental Assessments: Key characteristics and lessons for future use","Global Environmental Change","","09593780","10.1016/j.gloenvcha.2012.06.001","","Over the last 10 years a large set of global environmental assessment studies has been published that include scenario projections. Comparison of these studies shows that there is actually a limited set of scenario families that form the basis of many scenarios used in different environmental assessments. Mapping these scenario families allow a simpler comparison across the different assessments. The fact that many assessments can be positioned within these families gives some confidence of their relevance. It is also noticeable that several recent assessments have been focusing on more focussed policy-scenarios as variant to a single baseline. This is partly a response to a different stage in the policy-making process. While there are clear advantages of both categories of scenarios (explorative scenarios and baseline/policy variants), it might be important to test the robustness of scenario outcomes of the policy-scenario approach against the different storyline scenario-families identified in this paper. © 2012 Elsevier Ltd.","2012","2019-07-02 08:45:58","2019-07-02T08:45:58Z",NA,"884–895","","4","22",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Global Environmental Assessment; Integrated assessment; Scenarios",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7EIJ9AC","journalArticle",2010,"Raudsepp-Hearne, Ciara; Peterson, Garry D.; Tengö, Maria; Bennett, Elena M.; Holland, Tim; Benessaiah, Karina; MacDonald, Graham K.; Pfeifer, Laura","Untangling the Environmentalist's Paradox: Why Is Human Well-being Increasing as Ecosystem Services Degrade?","BioScience","","1525-3244","10.1525/bio.2010.60.8.4","https://academic.oup.com/bioscience/article-lookup/doi/10.1525/bio.2010.60.8.4","Environmentalists have argued that ecological degradation will lead to declines in the well-being of people dependent on ecosystem services. The Millennium Ecosystem Assessment paradoxically found that human well-being has increased despite large global declines in most ecosystem services. We assess four explanations of these divergent trends: (1) We have measured well-being incorrectly; (2) well-being is dependent on food services, which are increasing, and not on other services that are declining; (3) technology has decoupled well-being from nature; (4) time lags may lead to future declines in well-being. Our findings discount the first hypothesis, but elements of the remaining three appear plausible. Although ecologists have convincingly documented ecological decline, science does not adequately understand the implications of this decline for human well-being. Untangling how human well-being has increased as ecosystem conditions decline is critical to guiding future management of ecosystem services; we propose four research areas to help achieve this goal.","2010","2019-07-02 08:45:55","2019-07-02T08:45:55Z",NA,"576–589","","8","60",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"adaptation; ecosystem services; human well-being; sustainability; time lags",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL9JPA68","journalArticle",2012,"Jordà, Gabriel; Marbà, Núria; Duarte, Carlos M.","Mediterranean seagrass vulnerable to regional climate warming","Nature Climate Change","","1758678X","10.1038/nclimate1533","","The Mediterranean Sea, one of the regions warming fastest under climate change, harbours lush seagrass (Posidonia oceanica) meadows that form the basis for a key ecosystem in the region. Recent field results have shown that increased maximum annual seawater temperature in the Mediterranean has already led to increased seagrass mortality. Here we project the trajectory of P. oceanica meadows under the warming expected in the western Mediterranean through the twenty-first century to conclude that warming will lead to the functional extinction of P. oceanica meadows by the middle of this century (year 2049±10) even under a relatively mild greenhouse-gas emissions scenario. Efforts to alleviate local stresses adding to the loss of P. oceanica meadows will have a limited effect in conserving the meadows under climate change. Efforts to mitigate climate change are urgently needed to preserve this key ecosystem. © 2012 Macmillan Publishers Limited. All rights reserved.","2012-05","2019-07-02 08:45:53","2019-07-02T08:45:53Z",NA,"821–824","","11","2",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MJCXGUKW","book",NA,"Lockyer, Norman","Nature.","","","","","","""International weekly journal of science""–Cover. Founded and for many years edited by Sir J.N. Lockyer.","","2019-07-02 08:45:51","2019-07-02T08:45:51Z",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,"[Macmillan Journals Ltd., etc.]","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2TA6KF8K","journalArticle",2014,"Ferraro, Paul J.; Hanauer, Merlin","Advances in Measuring the Environmental and Social Impacts of Environmental Programs","Ssrn","","1543-5938","10.1146/annurev-environ-101813-013230","http://www.annualreviews.org/doi/10.1146/annurev-environ-101813-013230","Inspired by the success of evidence-based medicine, environmental scholars and practitioners have grown enthusiastic about applying a similar evidence-based approach to solve some of the world's most pressing environmental problems. An important component of the evidence-based movement is the empirical evaluation of program and policy impacts. Impact evaluations draw heavily from recent advances in the empirical study of causal relationships - the effect of one thing on another. This review highlights the key components of these advances and characterizes the way in which they contribute to better evaluations of the environmental and social impacts of environmental programs. The review emphasizes that a solid understanding of these advances is required before environmental scholars and practitioners can begin to collect the relevant data, analyze them within credible research designs, and generate reliable evidence about the effectiveness of the myriad proposed solutions to the world's environmental and social problems.","2014-10","2019-07-02 08:45:49","2019-07-02T08:45:49Z",NA,"495–517","","1","39",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
