"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"H2AQ7EWT","journalArticle",NA,"","Paine Keystone","","","","","","","","2019-06-27 14:50:39","2019-06-27T14:50:39Z",NA,"","","","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RWL3GVEB","journalArticle",2011,"Vo, Anh-Thu E; Bank, Michael S; Shine, James P; Edwards, Scott V","Temporal increase in organic mercury in an endangered pelagic seabird assessed by century-old museum specimens","Proceedings of the National Academy of Sciences","","0027-8424","","","","2011","2019-06-27 14:50:38","2019-06-27T14:50:38Z",NA,"7466–7471","","18","108",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VG33WVTJ","journalArticle",2014,"Karki, Madhav","Green Economy for Sustainable Development in Nepal : Role of Forestry Sector","Suffrec","","","","www.nepjol.info/index.php/INIT/article/viewFile/10259/8338%5Cn","","2014","2019-06-27 14:50:35","2019-06-27T14:50:35Z",NA,"96–109","","The Initiation","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"community-based enterprises; community-based forest management; green; green economy; green jobs; infrastructure",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEAGCKGC","journalArticle",NA,"","Nixon_1995_Eutrophication","","","","","","","","2019-06-27 14:50:34","2019-06-27T14:50:34Z",NA,"","","","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XMPJG55M","book",2009,"","Community management of natural resources in Africa: Impacts, experiences and future directions, Natural Resource Issues No. 18","","978-1-84369-755-8","","","","Across sub-Saharan Africa, natural resources remain central to rural people's livelihoods. Local norms and customs shape people's everyday forms of resource use. In contrast, the commercial uses of natural resources often remain highly centralized, conditioned by government policies of the colonial and post-colonial eras. During the past several decades, there has been a shift from this predominantly centralized natural resource management towards more devolved models known very broadly as Community-Based Natural Resource Management (CBNRM). CBNRM models work to strengthen locally accountable institutions for natural resource use and management, enabling local groups of people to make better decisions about the use of land and resources. Because it involves the transfer of authority over natural resources to local communities, including of potentially valuable resources such as wildlife and timber, CBNRM is often about major institutional reforms and fundamental changes in power. This pan-African review of the impacts, challenges, and future directions of CBNRM highlights the diverse range of forms of community involvement in natural resource management that have emerged across the continent during the past twenty years. CBNRM means different things to different actors in different places across sub-Saharan Africa. In much of western and central Africa, CBNRM is interpreted by government authorities, donor agencies, and NGOs as benefit-sharing or outreach between national parks and adjacent communities. In such instances communities are not empowered as authorized local resource managers but are involved principally as passive recipients of benefits controlled elsewhere. This form of outreach and benefit-sharing is also a characteristic of some protected area management in East African countries. In Southern Africa, CBNRM is most clearly defined in terms of the devolution of rights to make management decisions, and capture benefits, in relation to resources located on communal lands. In all instances CBNRM involves some degree of co-management of resources between central authorities, local government, and local communities which share rights and responsibilities through diverse institutional arrangements. The various forms of CBNRM and their many locally-specific adaptations have greatly diversified approaches to natural resource governance in sub-Saharan Africa. Some notable ecological, economic, and institutional achievements have been documented.","2009","2019-06-27 14:50:32","2019-06-27T14:50:32Z",NA,"","207","","",NA,NA,NA,NA,"",NA,NA,"International Institute for Environment and Development (IIED)","London, UK",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"Nelson, Fred; Sandbrook, Chris; Roe, Dilys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRH2IVPE","journalArticle",2014,"McGinnis, Michael D; Ostrom, Elinor","Social-ecological system framework: initial changes and continuing challenges","Ecology and Society","","","","","","2014","2019-06-27 14:50:30","2019-06-27T14:50:30Z",NA,"30","","2","19",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9MLGYDB2","journalArticle",2017,"Prip, Christian","The Convention on Biological Diversity as a legal framework for safeguarding ecosystem services","Ecosystem Services","","22120416","10.1016/j.ecoser.2017.02.015","http://linkinghub.elsevier.com/retrieve/pii/S2212041617301043","","2017","2019-06-27 14:50:28","2019-06-27T14:50:28Z",NA,"1–6","","August 2016","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Biodiversity; Ecosystem services; Ecosystems; Millennium Ecosystem Assessment; Sustainable development; The Convention on Biological Diversity",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4XAH22S","journalArticle",2014,"Tittensor, Derek P; Walpole, Matt; Hill, Samantha L L; Boyce, Daniel G; Britten, Gregory L; Burgess, Neil D; Butchart, Stuart H M; Leadley, Paul W; Regan, Eugenie C; Alkemade, Rob; Baumung, Roswitha; Bellard, Céline; Bouwman, Lex; Bowles-newark, Nadine J; Chenery, Anna M; Cheung, William W L","Biodiversity Targets","Science","","","","","","2014","2019-06-27 14:50:26","2019-06-27T14:50:26Z",NA,"241–245","","6206","346",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"110; 188; 2013; 202; 4; 5; 7038; 7043; a; acad; cell stem cell 14; guo et al; natl; o; proc; r e p o; r t s; s; s ear ch; sci; torper et al; u; z",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBMBYMIK","report",2009,"Bizikova, Livia; Bellali, Johara; Habtezion, Zerisenap; Diakhite, Mamadou; Pinter, Laszlo","IEA Training Manual, Volume Two Themes: Vulnerability and Impact assessments fro Adaptation to Climate Change (VIA Module)","","","","","","","2009","2019-06-27 14:50:23","2019-06-27T14:50:23Z",NA,"","","","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NBGZ4ZFR","book",2016,"","A New Roadmap for the Man and the Biosphere (MAB) Programme and its World Network of Biosphere Reserves","","978-92-3-100206-9","","","","","2016","2019-06-27 14:50:19","2019-06-27T14:50:19Z",NA,"","","","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
