"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"N5LG6NH6","journalArticle",2020,"Friedlingstein, Pierre; O'Sullivan, Michael; Jones, Matthew W.; Andrew, Robbie M.; Hauck, Judith; Olsen, Are; Peters, Glen P.; Peters, Wouter; Pongratz, Julia; Sitch, Stephen; Le Quéré, Corinne; Canadell, Josep G.; Ciais, Philippe; Jackson, Robert B.; Alin, Simone; Aragão, Luiz E. O. C.; Arneth, Almut; Arora, Vivek; Bates, Nicholas R.; Becker, Meike; Benoit-Cattin, Alice; Bittig, Henry C.; Bopp, Laurent; Bultan, Selma; Chandra, Naveen; Chevallier, Frédéric; Chini, Louise P.; Evans, Wiley; Florentie, Liesbeth; Forster, Piers M.; Gasser, Thomas; Gehlen, Marion; Gilfillan, Dennis; Gkritzalis, Thanos; Gregor, Luke; Gruber, Nicolas; Harris, Ian; Hartung, Kerstin; Haverd, Vanessa; Houghton, Richard A.; Ilyina, Tatiana; Jain, Atul K.; Joetzjer, Emilie; Kadono, Koji; Kato, Etsushi; Kitidis, Vassilis; Korsbakken, Jan Ivar; Landschützer, Peter; Lefèvre, Nathalie; Lenton, Andrew; Lienert, Sebastian; Liu, Zhu; Lombardozzi, Danica; Marland, Gregg; Metzl, Nicolas; Munro, David R.; Nabel, Julia E. M. S.; Nakaoka, Shin-Ichiro; Niwa, Yosuke; O'Brien, Kevin; Ono, Tsuneo; Palmer, Paul I.; Pierrot, Denis; Poulter, Benjamin; Resplandy, Laure; Robertson, Eddy; Rödenbeck, Christian; Schwinger, Jörg; Séférian, Roland; Skjelvan, Ingunn; Smith, Adam J. P.; Sutton, Adrienne J.; Tanhua, Toste; Tans, Pieter P.; Tian, Hanqin; Tilbrook, Bronte; van der Werf, Guido; Vuichard, Nicolas; Walker, Anthony P.; Wanninkhof, Rik; Watson, Andrew J.; Willis, David; Wiltshire, Andrew J.; Yuan, Wenping; Yue, Xu; Zaehle, Sönke","Global Carbon Budget 2020","Earth System Science Data","","1866-3516","10.5194/essd-12-3269-2020","https://essd.copernicus.org/articles/12/3269/2020/","Abstract. Accurate assessment of anthropogenic carbon dioxide (CO2) emissions and their redistribution among the atmosphere, ocean, and terrestrial biosphere in a changing climate – the “global carbon budget” – is important to better understand the global carbon cycle, support the development of climate policies, and project future climate change. Here we describe and synthesize data sets and methodology to quantify the five major components of the global carbon budget and their uncertainties. Fossil CO2 emissions (EFOS) are based on energy statistics and cement production data, while emissions from land-use change (ELUC), mainly deforestation, are based on land use and land-use change data and bookkeeping models. Atmospheric CO2 concentration is measured directly and its growth rate (GATM) is computed from the annual changes in concentration. The ocean CO2 sink (SOCEAN) and terrestrial CO2 sink (SLAND) are estimated with global process models constrained by observations. The resulting carbon budget imbalance (BIM), the difference between the estimated total emissions and the estimated changes in the atmosphere, ocean, and terrestrial biosphere, is a measure of imperfect data and understanding of the contemporary carbon cycle. All uncertainties are reported as ±1σ. For the last decade available (2010–2019), EFOS was 9.6 ± 0.5 GtC yr−1 excluding the cement carbonation sink (9.4 ± 0.5 GtC yr−1 when the cement carbonation sink is included), and ELUC was 1.6 ± 0.7 GtC yr−1. For the same decade, GATM was 5.1 ± 0.02 GtC yr−1 (2.4 ± 0.01 ppm yr−1), SOCEAN 2.5 ±  0.6 GtC yr−1, and SLAND 3.4 ± 0.9 GtC yr−1, with a budget imbalance BIM of −0.1 GtC yr−1 indicating a near balance between estimated sources and sinks over the last decade. For the year 2019 alone, the growth in EFOS was only about 0.1 % with fossil emissions increasing to 9.9 ± 0.5 GtC yr−1 excluding the cement carbonation sink (9.7 ± 0.5 GtC yr−1 when cement carbonation sink is included), and ELUC was 1.8 ± 0.7 GtC yr−1, for total anthropogenic CO2 emissions of 11.5 ± 0.9 GtC yr−1 (42.2 ± 3.3 GtCO2). Also for 2019, GATM was 5.4 ± 0.2 GtC yr−1 (2.5 ± 0.1 ppm yr−1), SOCEAN was 2.6 ± 0.6 GtC yr−1, and SLAND was 3.1 ± 1.2 GtC yr−1, with a BIM of 0.3 GtC. The global atmospheric CO2 concentration reached 409.85 ± 0.1 ppm averaged over 2019. Preliminary data for 2020, accounting for the COVID-19-induced changes in emissions, suggest a decrease in EFOS relative to 2019 of about −7 % (median estimate) based on individual estimates from four studies of −6 %, −7 %, −7 % (−3 % to −11 %), and −13 %. Overall, the mean and trend in the components of the global carbon budget are consistently estimated over the period 1959–2019, but discrepancies of up to 1 GtC yr−1 persist for the representation of semi-decadal variability in CO2 fluxes. Comparison of estimates from diverse approaches and observations shows (1) no consensus in the mean and trend in land-use change emissions over the last decade, (2) a persistent low agreement between the different methods on the magnitude of the land CO2 flux in the northern extra-tropics, and (3) an apparent discrepancy between the different methods for the ocean sink outside the tropics, particularly in the Southern Ocean. This living data update documents changes in the methods and data sets used in this new global carbon budget and the progress in understanding of the global carbon cycle compared with previous publications of this data set (Friedlingstein et al., 2019; Le Quéré et al., 2018b, a, 2016, 2015b, a, 2014, 2013). The data presented in this work are available at https://doi.org/10.18160/gcp-2020 (Friedlingstein et al., 2020).","2020-12-11","2022-11-03 09:13:38","2022-11-03T09:13:38Z","2022-01-17 19:08:25","3269-3340",NA,"4",12,NA,"Earth Syst. Sci. Data","","","",NA,NA,"","","en","","",NA,NA,"DOI.org (Crossref)","","",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section1; ipbes-ipcc-workshop_section3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRMPDLIV","journalArticle",2015,"Dai, Kaoshan; Bergot, Anthony; Liang, Chao; Xiang, Wei-Ning; Huang, Zhenhua","Environmental issues associated with wind energy – A review","Renewable Energy","","0960-1481","10.1016/j.renene.2014.10.074","https://www.sciencedirect.com/science/article/pii/S0960148114007149","Recognized as one of the most mature renewable energy technologies, wind energy has been developing rapidly in recent years. Many countries have shown interest in utilizing wind power, but they are concerned about the environmental impacts of the wind farms. The continuous growth of the wind energy industry in many parts of the world, especially in some developing countries and ecologically vulnerable regions, necessitates a comprehensive understanding of wind farm induced environmental impacts. The environmental issues caused by wind farms were reviewed in this paper by summarizing existing studies. Available mitigation measures to minimize these adverse environmental impacts were discussed in this document. The intention of this paper is to provide state-of-the-art knowledge about environmental issues associated with wind energy development as well as strategies to mitigate environmental impacts to wind energy planners and developers.","2015-03-01","2022-11-03 09:13:36","2022-11-03T09:13:36Z","2021-08-22 10:35:19","911-921",NA,"",75,NA,"Renewable Energy","","","",NA,NA,"","","en","","",NA,NA,"ScienceDirect","","",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PYD8V4BI","journalArticle",2020,"Atwood, Trisha B.; Witt, Andrew; Mayorga, Juan; Hammill, Edd; Sala, Enric","Global Patterns in Marine Sediment Carbon Stocks","Frontiers in Marine Science","","2296-7745","10.3389/fmars.2020.00165","https://www.frontiersin.org/article/10.3389/fmars.2020.00165","To develop more accurate global carbon (C) budgets and to better inform management of human activities in the ocean, we need high-resolution estimates of marine C stocks. Here we quantify global marine sedimentary C stocks at a 1-km resolution, and find that marine sediments store 2322 (2239–2391) Pg C in the top 1 m (nearly twice that of terrestrial soils). Sediments in abyss/basin zones account for 79% of the global marine sediment C stock, and 49% of that stock is within the 200-mile Exclusive Economic Zones of countries. Currently, only ∼2% of sediment C stocks are located in highly to fully protected areas that prevent the disturbance of the seafloor. Our results show that marine sediments represent a large and globally important C sink. However, the lack of protection for marine C stocks makes them highly vulnerable to human disturbances that can lead to their remineralization to CO2, further aggravating climate change impacts.","2020","2022-11-03 09:13:35","2022-11-03T09:13:35Z","2021-08-22 10:55:15","165",NA,"",7,NA,"","","","",NA,NA,"","","","","",NA,NA,"Frontiers","","",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section5",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V852UMWJ","journalArticle",2020,"Watson, James E. M.; Keith, David A.; Strassburg, Bernardo B. N.; Venter, Oscar; Williams, Brooke; Nicholson, Emily","Set a global target for ecosystems","Nature","","","10.1038/d41586-020-00446-1","https://www.nature.com/articles/d41586-020-00446-1","The conservation community must be able to track countries’ progress in protecting wetlands, reefs, forests and more, argue James Watson and colleagues.","2020-02","2022-11-03 09:13:35","2022-11-03T09:13:35Z","2021-08-22 10:48:19","360-362",NA,"7795",578,NA,"","","","",NA,NA,"","","en","2021 Nature","",NA,NA,"www.nature.com","","Bandiera_abtest: a Cg_type: Comment Number: 7795 Publisher: Nature Publishing Group Subject_term: Conservation biology, Ecology, Climate change",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section2; ipbes-ipcc-workshop_section3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGDKTXKP","journalArticle",2021,"Sala, Enric; Mayorga, Juan; Bradley, Darcy; Cabral, Reniel B.; Atwood, Trisha B.; Auber, Arnaud; Cheung, William; Costello, Christopher; Ferretti, Francesco; Friedlander, Alan M.; Gaines, Steven D.; Garilao, Cristina; Goodell, Whitney; Halpern, Benjamin S.; Hinson, Audra; Kaschner, Kristin; Kesner-Reyes, Kathleen; Leprieur, Fabien; McGowan, Jennifer; Morgan, Lance E.; Mouillot, David; Palacios-Abrantes, Juliano; Possingham, Hugh P.; Rechberger, Kristin D.; Worm, Boris; Lubchenco, Jane","Protecting the global ocean for biodiversity, food and climate","Nature","","1476-4687","10.1038/s41586-021-03371-z","https://www.nature.com/articles/s41586-021-03371-z","The ocean contains unique biodiversity, provides valuable food resources and is a major sink for anthropogenic carbon. Marine protected areas (MPAs) are an effective tool for restoring ocean biodiversity and ecosystem services1,2, but at present only 2.7% of the ocean is highly protected3. This low level of ocean protection is due largely to conflicts with fisheries and other extractive uses. To address this issue, here we developed a conservation planning framework to prioritize highly protected MPAs in places that would result in multiple benefits today and in the future. We find that a substantial increase in ocean protection could have triple benefits, by protecting biodiversity, boosting the yield of fisheries and securing marine carbon stocks that are at risk from human activities. Our results show that most coastal nations contain priority areas that can contribute substantially to achieving these three objectives of biodiversity protection, food provision and carbon storage. A globally coordinated effort could be nearly twice as efficient as uncoordinated, national-level conservation planning. Our flexible prioritization framework could help to inform both national marine spatial plans4 and global targets for marine conservation, food security and climate action.","2021-04","2022-11-03 09:13:33","2022-11-03T09:13:33Z","2021-08-22 10:55:40","397-402",NA,"7854",592,NA,"","","","",NA,NA,"","","en","2021 The Author(s), under exclusive licence to Springer Nature Limited","",NA,NA,"www.nature.com","","Bandiera_abtest: a Cg_type: Nature Research Journals Number: 7854 Primary_atype: Research Publisher: Nature Publishing Group Subject_term: Environmental sciences;Ocean sciences Subject_term_id: environmental-sciences;ocean-sciences",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section2; ipbes-ipcc-workshop_section4; ipbes-ipcc-workshop_section5; ipbes-ipcc-workshop_section6; ipbes-ipcc-workshop_section7",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UFB44RG4","journalArticle",2012,"Huang, Shou-Chung; Shih, Shang-Shu; Ho, Yi-Shen; Chen, Chang-Po; Hsieh, Hwey-Lian","Restoration of Shorebird-Roosting Mudflats by Partial Removal of Estuarine Mangroves in Northern Taiwan","Restoration Ecology","","1526-100X","10.1111/j.1526-100X.2010.00744.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1526-100X.2010.00744.x","Expansion of the monospecific mangrove, Kandelia obovata, has converted intertidal mudflats and other habitats into mangrove forests, thus reducing estuarine biodiversity in the Danshuei River estuary, northern Taiwan. Dense mangrove vegetation was removed to create a small patchwork of mudflats and a tidal creek in February 2007. Subsequent changes in sediment properties and biodiversity of the macrobenthos and avian communities were examined. The results showed that the creation of different habitats led to changes in sediment properties and biodiversity. The water content and sorting degree of the sediments differed significantly among the restored mudflat, the tidal creek, and the mangrove control site. Silt/clay, organic carbon content, and chlorophyll a concentrations varied seasonally, but not among sites. The abundance of polychaetes in the creek was greater than that in the mudflat or the mangrove (12.5 vs. 5.3 and 2.2 individuals/m2, respectively), suggesting preferential colonization of infaunal polychaetes in habitats with prolonged submersion. Crabs showed seasonal changes in density, with higher densities in summer than in autumn and winter. The species richness of wintering shorebirds on the created mudflat increased dramatically from 2002 to 2007. The transformation of a vegetated area into an open mudflat appeared to benefit shorebirds by providing roosting habitat. Our study demonstrated that controlling the spread of estuarine mangrove forests could increase biodiversity, and could particularly benefit the migratory shorebird community.","2012","2022-11-03 09:13:32","2022-11-03T09:13:32Z","2021-08-22 12:47:20","76-84",NA,"1",20,NA,"","","","",NA,NA,"","","en","","",NA,NA,"Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1526-100X.2010.00744.x",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7IMAW7EP","journalArticle",2020,"Strassburg, Bernardo B. N.; Iribarrem, Alvaro; Beyer, Hawthorne L.; Cordeiro, Carlos Leandro; Crouzeilles, Renato; Jakovac, Catarina C.; Braga Junqueira, André; Lacerda, Eduardo; Latawiec, Agnieszka E.; Balmford, Andrew; Brooks, Thomas M.; Butchart, Stuart H. M.; Chazdon, Robin L.; Erb, Karl-Heinz; Brancalion, Pedro; Buchanan, Graeme; Cooper, David; Díaz, Sandra; Donald, Paul F.; Kapos, Valerie; Leclère, David; Miles, Lera; Obersteiner, Michael; Plutzar, Christoph; de M. Scaramuzza, Carlos Alberto; Scarano, Fabio R.; Visconti, Piero","Global priority areas for ecosystem restoration","Nature","","1476-4687","10.1038/s41586-020-2784-9","https://www.nature.com/articles/s41586-020-2784-9","Extensive ecosystem restoration is increasingly seen as being central to conserving biodiversity1 and stabilizing the climate of the Earth2. Although ambitious national and global targets have been set, global priority areas that account for spatial variation in benefits and costs have yet to be identified. Here we develop and apply a multicriteria optimization approach that identifies priority areas for restoration across all terrestrial biomes, and estimates their benefits and costs. We find that restoring 15% of converted lands in priority areas could avoid 60% of expected extinctions while sequestering 299 gigatonnes of CO2—30% of the total CO2 increase in the atmosphere since the Industrial Revolution. The inclusion of several biomes is key to achieving multiple benefits. Cost effectiveness can increase up to 13-fold when spatial allocation is optimized using our multicriteria approach, which highlights the importance of spatial planning. Our results confirm the vast potential contributions of restoration to addressing global challenges, while underscoring the necessity of pursuing these goals synergistically.","2020-10","2022-11-03 09:13:31","2022-11-03T09:13:31Z","2021-11-28 21:50:54","724-729",NA,"7831",586,NA,"","","","",NA,NA,"","","en","2020 The Author(s), under exclusive licence to Springer Nature Limited","",NA,NA,"www.nature.com","","Bandiera_abtest: a Cg_type: Nature Research Journals Number: 7831 Primary_atype: Research Publisher: Nature Publishing Group Subject_term: Biodiversity;Climate-change mitigation;Conservation biology;Restoration ecology Subject_term_id: biodiversity;climate-change-mitigation;conservation;restoration-ecology",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BL62NYJZ","journalArticle",2016,"Bayraktarov, Elisa; Saunders, Megan I.; Abdullah, Sabah; Mills, Morena; Beher, Jutta; Possingham, Hugh P.; Mumby, Peter J.; Lovelock, Catherine E.","The cost and feasibility of marine coastal restoration","Ecological Applications","","1939-5582","10.1890/15-1077","https://onlinelibrary.wiley.com/doi/abs/10.1890/15-1077","Land-use change in the coastal zone has led to worldwide degradation of marine coastal ecosystems and a loss of the goods and services they provide. Restoration is the process of assisting the recovery of an ecosystem that has been degraded, damaged, or destroyed and is critical for habitats where natural recovery is hindered. Uncertainties about restoration cost and feasibility can impede decisions on whether, what, how, where, and how much to restore. Here, we perform a synthesis of 235 studies with 954 observations from restoration or rehabilitation projects of coral reefs, seagrass, mangroves, saltmarshes, and oyster reefs worldwide, and evaluate cost, survival of restored organisms, project duration, area, and techniques applied. Findings showed that while the median and average reported costs for restoration of one hectare of marine coastal habitat were around US$80 000 (2010) and US$1 600 000 (2010), respectively, the real total costs (median) are likely to be two to four times higher. Coral reefs and seagrass were among the most expensive ecosystems to restore. Mangrove restoration projects were typically the largest and the least expensive per hectare. Most marine coastal restoration projects were conducted in Australia, Europe, and USA, while total restoration costs were significantly (up to 30 times) cheaper in countries with developing economies. Community- or volunteer-based marine restoration projects usually have lower costs. Median survival of restored marine and coastal organisms, often assessed only within the first one to two years after restoration, was highest for saltmarshes (64.8%) and coral reefs (64.5%) and lowest for seagrass (38.0%). However, success rates reported in the scientific literature could be biased towards publishing successes rather than failures. The majority of restoration projects were short-lived and seldom reported monitoring costs. Restoration success depended primarily on the ecosystem, site selection, and techniques applied rather than on money spent. We need enhanced investment in both improving restoration practices and large-scale restoration.","2016","2022-11-03 09:13:30","2022-11-03T09:13:30Z","2021-11-28 21:59:30","1055-1074",NA,"4",26,NA,"","","","",NA,NA,"","","en","","",NA,NA,"Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1890/15-1077",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section5",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6NP4ZGEX","journalArticle",2020,"Anderegg, William R. L.; Trugman, Anna T.; Badgley, Grayson; Anderson, Christa M.; Bartuska, Ann; Ciais, Philippe; Cullenward, Danny; Field, Christopher B.; Freeman, Jeremy; Goetz, Scott J.; Hicke, Jeffrey A.; Huntzinger, Deborah; Jackson, Robert B.; Nickerson, John; Pacala, Stephen; Randerson, James T.","Climate-driven risks to the climate mitigation potential of forests","Science","","","10.1126/science.aaz7005","https://www.science.org/doi/abs/10.1126/science.aaz7005","Much recent attention has focused on the potential of trees and forests to mitigate ongoing climate change by acting as sinks for carbon. Anderegg et al. review the growing evidence that forests' climate mitigation potential is increasingly at risk from a range of adversities that limit forest growth and health. These include physical factors such as drought and fire and biotic factors, including the depredations of insect herbivores and fungal pathogens. Full assessment and quantification of these risks, which themselves are influenced by climate, is key to achieving science-based policy outcomes for effective land and forest management. Science, this issue p. eaaz7005 Forests have considerable potential to help mitigate human-caused climate change and provide society with many cobenefits. However, climate-driven risks may fundamentally compromise forest carbon sinks in the 21st century. Here, we synthesize the current understanding of climate-driven risks to forest stability from fire, drought, biotic agents, and other disturbances. We review how efforts to use forests as natural climate solutions presently consider and could more fully embrace current scientific knowledge to account for these climate-driven risks. Recent advances in vegetation physiology, disturbance ecology, mechanistic vegetation modeling, large-scale ecological observation networks, and remote sensing are improving current estimates and forecasts of the risks to forest stability. A more holistic understanding and quantification of such risks will help policy-makers and other stakeholders effectively use forests as natural climate solutions.","2020","2022-11-03 09:13:28","2022-11-03T09:13:28Z","","eaaz7005",NA,"6497",368,NA,"","","","",NA,NA,"","","","","",NA,NA,"","","_eprint: https://www.science.org/doi/pdf/10.1126/science.aaz7005",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4JHXRREV","journalArticle",2021,"Bergstrom, Dana M.; Wienecke, Barbara C.; van den Hoff, John; Hughes, Lesley; Lindenmayer, David B.; Ainsworth, Tracy D.; Baker, Christopher M.; Bland, Lucie; Bowman, David M. J. S.; Brooks, Shaun T.; Canadell, Josep G.; Constable, Andrew J.; Dafforn, Katherine A.; Depledge, Michael H.; Dickson, Catherine R.; Duke, Norman C.; Helmstedt, Kate J.; Holz, Andrés; Johnson, Craig R.; McGeoch, Melodie A.; Melbourne-Thomas, Jessica; Morgain, Rachel; Nicholson, Emily; Prober, Suzanne M.; Raymond, Ben; Ritchie, Euan G.; Robinson, Sharon A.; Ruthrof, Katinka X.; Setterfield, Samantha A.; Sgrò, Carla M.; Stark, Jonathan S.; Travers, Toby; Trebilco, Rowan; Ward, Delphi F. L.; Wardle, Glenda M.; Williams, Kristen J.; Zylstra, Phillip J.; Shaw, Justine D.","Combating ecosystem collapse from the tropics to the Antarctic","Global Change Biology","","1365-2486","10.1111/gcb.15539","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15539","Globally, collapse of ecosystems—potentially irreversible change to ecosystem structure, composition and function—imperils biodiversity, human health and well-being. We examine the current state and recent trajectories of 19 ecosystems, spanning 58° of latitude across 7.7 M km2, from Australia's coral reefs to terrestrial Antarctica. Pressures from global climate change and regional human impacts, occurring as chronic ‘presses’ and/or acute ‘pulses’, drive ecosystem collapse. Ecosystem responses to 5–17 pressures were categorised as four collapse profiles—abrupt, smooth, stepped and fluctuating. The manifestation of widespread ecosystem collapse is a stark warning of the necessity to take action. We present a three-step assessment and management framework (3As Pathway Awareness, Anticipation and Action) to aid strategic and effective mitigation to alleviate further degradation to help secure our future.","2021","2022-11-03 09:13:27","2022-11-03T09:13:27Z","2021-11-28 22:36:59","1692-1703",NA,"9",27,NA,"","","","",NA,NA,"","","en","","",NA,NA,"Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.15539",NA,NA,NA,"#nosource; ipbes-ipcc-workshop_section6",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
