"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"8U76UJU4","journalArticle",2024,"Hermoso, Virgilio","Stress testing protected areas against global change","Biological Conservation","","00063207","10.1016/j.biocon.2024.110505","https://linkinghub.elsevier.com/retrieve/pii/S0006320724000661","","2024-03","2024-09-07 06:45:07","2024-09-07T06:45:07Z","2024-09-07 06:45:06","110505",NA,"",291,NA,"Biological Conservation","","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GXDB95GY","journalArticle",2024,"Arranz, Ignasi; Batllori, Enric; Linares, Cristina; Ripple, William J.; Bonada, Núria","Integrative research of Mediterranean climate regions: a global call to action","Environmental Conservation","","0376-8929, 1469-4387","10.1017/S0376892924000067","https://www.cambridge.org/core/product/identifier/S0376892924000067/type/journal_article","Summary              Mediterranean climate regions (hereafter ‘Med-regions’) cover small areas globally but harbour a wide diversity of ecosystems that are under serious threat due to current global climate change. Despite intensive research and conservation efforts in freshwater, marine and terrestrial ecosystems to prevent the consequences of habitat fragmentation, overfishing and changes in fire regimes and heatwaves, there is still no global consensus on how to conserve and manage Med-region ecosystems. We define integrative research as an interdisciplinary approach with common concepts and metrics enabling a better understanding of the general mechanisms underlying ecosystems. Building upon existing literature that promotes integrative research in Med-region ecosystems, we advocate for a more integrative approach that takes into consideration cross-ecosystem generalities and common resilience mechanisms. We propose examples of potential studies for implementing such integrative research, including: (1) integrative research across ecosystems; (2) integrative research across Med-regions; and (3) integrative research across political boundaries. We then offer recommendations for promoting integrative studies, including leveraging biodiversity data, establishing working groups in research syntheses and testing theoretical frameworks. Promoting integrative research in Med-regions would enable and facilitate the roadmap towards a better understanding of Med-region ecosystems’ responses to natural and anthropogenic disturbances and the identification of ecological baselines. We seek to foster future research synergies to identify tipping points across ecosystems and aid in determining desired future conditions in Med-regions globally.","2024-06","2024-09-07 06:41:34","2024-09-07T06:41:34Z","2024-09-07 06:41:33","71-78",NA,"2",51,NA,"Envir. Conserv.","Integrative research of Mediterranean climate regions","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LF9ESVFU","journalArticle",2024,"Frazão Santos, Catarina; Agardy, Tundi; Crowder, Larry B.; Day, Jon C.; Pinsky, Malin L.; Himes-Cornell, Amber; Reimer, Julie M.; García-Morales, Sara; Bennett, Nathan J.; Lombard, Amanda T.; Calado, Helena; Scherer, Marinez; Flannery, Wesley; Wedding, Lisa M.; Gissi, Elena","Key components of sustainable climate-smart ocean planning","npj Ocean Sustainability","","2731-426X","10.1038/s44183-024-00045-x","https://www.nature.com/articles/s44183-024-00045-x","Abstract              Planning of marine areas has spread widely over the past two decades to support sustainable ocean management and governance. However, to succeed in a changing ocean, marine spatial planning (MSP) must be ‘climate-smart’— integrating climate-related knowledge, being flexible to changing conditions, and supporting climate actions. While the need for climate-smart MSP has been globally recognized, at a practical level, marine managers and planners require further guidance on how to put it into action. Here, we suggest ten key components that, if well-integrated, would promote the development and implementation of sustainable, equitable, climate-smart MSP initiatives around the globe.","2024-03-12","2024-09-07 06:35:16","2024-09-07T06:35:16Z","2024-09-07 06:35:15","10",NA,"1",3,NA,"npj Ocean Sustain","","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLP8GN3E","journalArticle",2024,"Bina, O.; Baptista, M.D.; Pereira, M.M.; Inch, A.; Falanga, R.; Alegría, V.; Caquimbo-Salazar, S.; Duarte, D.H.S.; Mercado, G.; Valenta, A.T.; Vásquez, A.; Verellen, T.","Exploring desired urban futures: the transformative potential of a nature-based approach","Futures","","00163287","10.1016/j.futures.2024.103362","https://linkinghub.elsevier.com/retrieve/pii/S0016328724000454","","2024-05","2024-09-07 06:31:04","2024-09-07T06:31:04Z","2024-09-07 06:31:03","103362",NA,"",159,NA,"Futures","Exploring desired urban futures","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RVUE8VGK","journalArticle",2024,"Otero, Iago; Rigal, Stanislas; Pereira, Laura; Kim, HyeJin; Gamboa, Gonzalo; Tello, Enric; Grêt-Regamey, Adrienne","Degrowth scenarios for biodiversity? Key methodological steps and a call for collaboration","Sustainability Science","","1862-4065, 1862-4057","10.1007/s11625-024-01483-9","https://link.springer.com/10.1007/s11625-024-01483-9","Abstract              Studies show that economic growth contributes to biodiversity loss and that, after a certain threshold, it does not contribute to wellbeing. Thus, when developing biodiversity scenarios, considering societal futures where economic growth is not a pre-condition deserves special attention. However, to date, degrowth scenarios have not been explored for biodiversity conservation and human wellbeing. In this paper, we explain how the Nature Futures Framework (NFF) and other approaches could be used to generate degrowth scenarios for biodiversity, nature’s contributions to people (NCP) and good quality of life (GQL) based on multiple societal values. We present key methodological steps of such an endeavour, including: (i) producing degrowth visions for high-income countries; (ii) identifying leverage points and imagining degrowth pathways; (iii) identifying key social–ecological interactions; and (iv) modelling biodiversity, NCP, and GQL along degrowth scenarios. Our proposal is framed within current theoretical, empirical, and modelling work as well as within efforts to improve scenario development across the biodiversity and climate communities. To develop degrowth scenarios for biodiversity, NCP, and GQL, we call for collaboration across natural and social sciences, quantitative and qualitative approaches, and northern and southern perspectives. This collaboration could lead to a community of practice that tests and improves the degrowth scenarios in national and international science–policy interfaces as they set out to achieve the Convention on Biological Diversity’s 2050 vision of living in harmony with nature.","2024-05-06","2024-09-07 06:29:57","2024-09-07T06:29:57Z","2024-09-07 06:29:56","",NA,"",NA,NA,"Sustain Sci","Degrowth scenarios for biodiversity?","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58CLU5LX","journalArticle",2024,"Lembi, Rafael; Wentworth, Chelsea; Hodbod, Jennifer","Recipe for a scenario: Moving from vision to actionable pathways towards sustainable futures","Progress in Environmental Geography","","27539687, 27539687","10.1177/27539687241253616","https://journals.sagepub.com/doi/10.1177/27539687241253616","In this paper we present an overview of future-oriented research in sustainability science and place-based research and offer a tool for researchers and community partners to use to guide participatory scenario planning activities that result in actionable steps toward achieving sustainable futures. Within place-based community-engaged research projects, future-oriented methods, such as visioning and participatory scenario planning, have been increasingly utilized as an approach to integrate diverse voices and foster positive change. However, this emerging literature contains some overlapping concepts and approaches that require clarification before adoption. We review common definitions of scenarios, visions, and participatory scenario planning; benefits and challenges of conducting a participatory scenario planning process in place-based research; and three actionable frameworks (Three Horizons, Nature Futures Framework, Sustainable Futures Scenarios) that can inform participatory scenario planning. We then highlight gaps in the literature regarding how to conduct a participatory scenario planning process and introduce a tool named “Recipe for a Scenario” to guide the facilitation of scenarios workshops and co-create actionable pathways towards desirable futures. Our tool (and accompanying workbook that structures a scenarios workshop) supports cross-disciplinary community-engaged projects focused on bringing about positive change in a medium-term timeframe (approximately 20 years) to support more sustainable human-environment dynamics.","2024-06","2024-09-07 06:28:38","2024-09-07T06:28:38Z","2024-09-07 06:28:37","89-114",NA,"2",3,NA,"Progress in Environmental Geography","Recipe for a scenario","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U4XAW33N","journalArticle",2024,"Rochell, Katharina; Bulkeley, Harriet; Runhaar, Hens","Different shades of green: how transnational actors frame nature as a solution to sustainability challenges in African cities","Local Environment","","1354-9839, 1469-6711","10.1080/13549839.2024.2353047","https://www.tandfonline.com/doi/full/10.1080/13549839.2024.2353047","","2024-09","2024-09-07 06:27:21","2024-09-07T06:27:21Z","2024-09-07 06:27:20","1204-1220",NA,"9",29,NA,"Local Environment","Different shades of green","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598E5GLZ","journalArticle",2024,"Costantini, Hiroko; Nihei, Misato; Sugiyama, Masakazu; Yagi, Nobuyuki; Costantini, James","Care Literacy for Culture, Nature, and Future","Open Research Europe","","2732-5121","10.12688/openreseurope.17817.1","https://open-research-europe.ec.europa.eu/articles/4-115/v1","Within the broader sustainability agenda, an important element relates to the need for a transformative approach to nature. This motivates and is reflected in the Natures Futures Framework. Within this framework, this letter focuses on the relational value of Nature as Culture/One with Nature. This is important yet complex as part of the re-orienting of values to enable truly significant change, and which necessitates individual and community involvement on the value of caring for nature. As a means for understanding and enabling individuals’ potential to engage and contribute, the notion of ‘care for nature literacy’ is put forward.","2024-06-13","2024-09-07 06:26:24","2024-09-07T06:26:24Z","2024-09-07 06:26:23","115",NA,"",4,NA,"Open Res Europe","","",NA,NA,"","","","en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DCU4D7XL","preprint",2024,"Schnepf, Marit; Prestes Dürrnagel, Simone; Laghetto, Giacomo; Pastor, Teresa; Ritchie, Carol","Stakeholder Analysis. Report on stakeholder analysis including evaluation of engagement, training needs and capacity building","","","","10.3897/arphapreprints.e132163","https://preprints.arphahub.com/article/132163/","NaturaConnect is a Horizon Europe research project, which aims to work closely with key stakeholders to co-develop tools and build capacity that will assist European Union Member States to design a resilient, coherent, and well-connected network of protected and conserved areas – the Trans-European Nature Network (TEN-N). The project aims to elicit stakeholder visions and to tailor knowledge and tools, resulting from engagement and dissemination efforts across Europe and in six specific case study areas.            This report provides an overview of the stakeholder engagement during the first half of the project, outlines the capacity building approach and briefly discusses the main communication activities. An overview of applied methods in the stakeholder analysis, results from the stakeholder mapping and an evaluation of the engagement activities conducted until end of 2023 are described.            Capacity building is a crucial project component in developing knowledge, understanding, skills and competences for users of the NaturaConnect frameworks, data and tools. The capacity building evaluation of this report focuses on the NaturaConnect Learning Platform and the NaturaConnect Training Needs Assessment.            This mid-term report assesses engagement activities conducted until date in order to address any identified bottlenecks. The capacity building part provides an overview of applied methods and tools for assessing training needs and describes key features of the NaturaConnect Learning Platform.","2024-07-16","2024-09-07 06:24:57","2024-09-07T06:24:57Z","2024-09-07 06:24:55","",NA,"",NA,NA,"","","",NA,NA,"","","","","http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,"Research Ideas and Outcomes",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAV6DD8D","preprint",2024,"Fornarini, Claudia; D'Alessio, Alessandra; Dertien, Jeremy; Fernández, Néstor; Moreira, Francisco; Namasivayam, Anandi Sarita; O'Connor, Louise; Pereira, Henrique; Verburg, Peter; Rondinini, Carlo","Scenario framework for TEN-N, translation of NFF storylines into indicators and scenario settings","","","","10.3897/arphapreprints.e134026","https://preprints.arphahub.com/article/134026/","A key goal of the EU Biodiversity Strategy for 2030 is the design of a connected Trans European Nature Network (TEN-N), that helps to build a coherent and resilient network of protected areas across Europe. The TEN-N will need to consider and integrate societal perspectives on future biodiversity protection in Europe, accounting for multiple values and perspectives of nature. The NaturaConnect project, through a process of co-design with stakeholders, is developing narratives on future nature protection in Europe using the Nature Futures Framework (NFF). In this framework. three value perspectives of nature are presented at each corner of a triangle: Nature for Nature, Nature as Culture, and Nature for Society. By using this framework, NaturaConnect aligns with global efforts on scenario development auspicated by the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES). This report outlines the development of scenario narratives for Europe of the NaturaConnect project. The development of the narratives considered the global and European policy context as a starting point, and included a stakeholder engagement process conducted to elicit stakeholders&#39; preferences and visions in relation to future nature conservation and management in Europe. These narratives present contrasting perspectives and priorities for seven themes: Protected areas, Connectivity and Restoration, Forestry, Freshwater ecosystems, Urban system, Agriculture, Energy. These topics are key to building a more positive future for nature and people. Besides specificities for each narrative, we also identify commonalities across the three perspectives, including macroeconomic trend assumptions, biodiversity strategic goals of the European Union and shared solutions that are necessary to achieve any positive nature future.","2024-08-07","2024-09-07 06:22:46","2024-09-07T06:22:46Z","2024-09-07 06:22:45","",NA,"",NA,NA,"","","",NA,NA,"","","","","http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,"Research Ideas and Outcomes",NA,"",NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
