"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"ND5Q9SIS","journalArticle",2013,"Jha, Shalene; Kremen, C.","Urban land use limits regional bumble bee gene flow","Molecular Ecology",NA,"09621083","10.1111/mec.12275","","Potential declines in native pollinator communities and increased reliance on pollinator-dependent crops have raised concerns about native pollinator conservation and dispersal across human-altered landscapes. Bumble bees are one of the most effective native pollinators and are often the first to be extirpated in human-altered habitats, yet little is known about how bumble bees move across fine spatial scales and what landscapes promote or limit their gene flow. In this study, we examine regional genetic differentiation and fine-scale relatedness patterns of the yellow-faced bumble bee, Bombus vosnesenskii, to investigate how current and historic habitat composition impact gene flow. We conducted our study across a landscape mosaic of natural, agricultural and urban/suburban habitats, and we show that B. vosnesenskii exhibits low but significant levels of differentiation across the study system (FST= 0.019, Dest= 0.049). Most importantly, we reveal significant relationships between pairwise FSTand resistance models created from contemporary land use maps. Specifically, B. vosnesenskii gene flow is most limited by commercial, industrial and transportation-related impervious cover. Finally, our fine-scale analysis reveals significant but declining relatedness between individuals at the 1-9 km spatial scale, most likely due to local queen dispersal. Overall, our results indicate that B. vosnesenskii exhibits considerable local dispersal and that regional gene flow is significantly limited by impervious cover associated with urbanization. © 2013 Blackwell Publishing Ltd.","2013","2022-11-02 15:21:57","2022-11-02T15:21:57Z","","2483–2495",NA,"9",22,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource; Bombus; dispersal; landscape genetics; microsatellites; pollinator; urban ecology","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8RA49SMH","journalArticle",2012,"Joar, Stein; Totland, Ørjan","Interactions for pollinator visitation and their consequences for reproduction in a plant community Author ' s personal copy","Acta Oecologica",NA,"","","","","2012","2022-11-02 15:21:56","2022-11-02T15:21:56Z","","95–103",NA,"",43,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LRINT8WL","journalArticle",2002,"Ji, R; Xie, B; Yang, G; Li., D","From introduced species to invasive species-a case study on the Italian bee Apis mellifera L","Chinese Journal of Ecology",NA,"","","","","2002","2022-11-02 15:21:56","2022-11-02T15:21:56Z","","70–73",NA,"5",22,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GA4BP7DE","journalArticle",2003,"Johansen, C A","Pesticides and Pollinators","Annual Review of Entomology",NA,"0066-4170","10.1146/annurev.en.22.010177.001141","","Bee poisoning, the accidental killing of bees through the use of insecticides, first became a problem in the United States during the l870s. The problems remained restricted and localiz.ed until the surge in modern agricultural methods following World War II. Highly effective synthetic organic insecticides became feasible for use not only on all types of crops but also on tremendous acreages of rangelands and forests. Development of efficient herbicides led to severe reduction in bee forage plants on both cultivated and wild lands. This not only involves direct removal, such as elimination of sweetclover from wheat fields, but also treatments which cause displacement of bee plants by herbicide-tolerant, non-bee plants, such as dalmatian toad flax, yarrow, and nightshade. There can also be a conflict noxious weeds–e. g. yellow starthistle, Russian knapweed, hounds-tongue, and Canada thistle-are excellent pollen and nectar sources. Ever-increasing monocul­ tures of crops and the associated removal of fencerows and wild strips have reduced both bee forage and nest sites for wild bees. These developments have caused greater dependency upon honey bees for pollination of crops and simultaneously forced beekeepers to pasture their bees on insecticide-treated fields. Increasing the acreages of crops has a definite effect on pollination re quirements. Wild bees and hobbyist colonies of honey bees normally provide for good yields on 10 acres of raspberries, but a grower with SO acres usually re quires pollination service from a beekeeper. Development of hybrid varieties often increases the need for pollination. Hybrid onion and hybrid cabbage seed production pose special problems in transferring pollen from male-fertile rows to male-sterile rows or from compatible pollen rows to self-incompatible rows. Intensive plantings of dwarf fruit trees normally re quire two colonies of honey bees per acre, compared to one per acre in standard orchards. Many trends in modern agriculture have led to a vicious circle of increasing pollination re quirements and increasing dependency of beekeepers on insecticide-contaminated bee pasturage. Bee poisoning has become the number one problem for beekeepers on a worldwide scale.","2003","2022-11-02 15:21:54","2022-11-02T15:21:54Z","","177–192",NA,"1",22,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZPGHFC2W","journalArticle",2009,"Johnson, R M; Pollock, H S; MR., M R Berenbaum","Synergistic interactions between in- hive miticides in Apis mellifera","Journal of Economic Entomology",NA,"","","","","2009","2022-11-02 15:21:53","2022-11-02T15:21:53Z","","474–479",NA,"2",102,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WISA9CQI","journalArticle",1982,"Johansen, C; Mayer, D; Stanford, Alan; Kious, Chris","Alkali bees: their biology and management for alfalfa seed production in the Pacific Northwest","Publication, Pacific Northwest Cooperative Extension Service",NA,"","","","The life history, nesting sites and nest construction of Nomia melanderi are described. To build up populations for lucerne pollination semi-artificial and artificial nesting sites can be made; moisture levels are important at these sites. Enemies, predators, diseases, and poisoning of these bees are discussed. P. Walker","1982","2022-11-02 15:21:51","2022-11-02T15:21:51Z","","20 pp.",NA,"PNW 155",19,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource; Apidae; Fabaceae; Fabales; Halictidae; Hexapoda; Hymenoptera; LL010Apiculture; Medicago; Medicago sativa; Nomia; Papilionoideae; Spermatophyta; ZZ900Techniques and Methodology; animals; arthropods; development; dicotyledons; eukaryotes; insects; invertebrates; lucerne; nests; plants; pollination; rearing techniques","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZMMFVPRC","journalArticle",2006,"Johnson, Reed M.; Wen, Zhimou; Schuler, Mary A.; Berenbaum, May R.","Mediation of pyrethroid insecticide toxicity to honey bees (Hymenoptera: Apidae) by cytochrome P450 monooxygenases","Journal of Economic Entomology",NA,"00220493","10.1093/jee/99.4.1046","","Abstract Honey bees, Apis mellifera L., often thought to be extremely susceptible to insecticides in general, exhibit considerable variation in tolerance to pyrethroid insecticides. Although some pyrethroids, such as cyfluthrin and lambda-cyhalothrin, are highly toxic to honey bees, the toxicity of tau-fluvalinate is low enough to warrant its use to control parasitic mites inside honey bee colonies. Metabolic insecticide resistance in other insects is mediated by three major groups of detoxifying enzymes: the cytochrome P450 monooxygenases (P450s), the carboxylesterases (COEs), and the glutathione S-transferases (GSTs). To test the role of metabolic detoxification in mediating the relatively low toxicity of tau-fluvalinate compared with more toxic pyrethroid insecticides, we examined the effects of piperonyl butoxide (PBO), S,S,S-tributylphosphorotrithioate (DEF), and diethyl maleate (DEM) on the toxicity of these pyrethroids. The toxicity of the three pyrethroids to bees was greatly synergized by the P450 inhibitor PBO and synergized at low levels by the carboxylesterase inhibitor DEF. Little synergism was observed with DEM. These results suggest that metabolic detoxification, especially that mediated by P450s, contributes significantly to honey bee tolerance of pyrethroid insecticides. The potent synergism between tau-fluvalinate and PBO suggests that P450s are especially important in the detoxification of this pyrethroid and explains the ability of honey bees to tolerate its presence.","2006","2022-11-02 15:21:50","2022-11-02T15:21:50Z","","1046–1050",NA,"4",99,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource; Apistan; Carboxylesterase; Cytochrome P450 monooxygenase; Glutathione S-transferase; Varroa destructor","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69EU7L2S","journalArticle",2010,"Johnson, Reed M.; Ellis, Marion D.; Mullin, Christopher A.; Frazier, Maryann","Pesticides and honey bee toxicity – USA","Apidologie",NA,"0044-8435","10.1051/apido/2010018","","– Until 1985 discussions of pesticides and honey bee toxicity in the USA were focused on pes-ticides applied to crops and the unintentional exposure of foraging bees to them. The recent introduction of arthropod pests of honey bees, Acarapis woodi (1984), Varroa destructor (1987), and Aethina tumida (1997), to the USA have resulted in the intentional introduction of pesticides into beehives to suppress these pests. Both the unintentional and the intentional exposure of honey bees to pesticides have resulted in residues in hive products, especially beeswax. This review examines pesticides applied to crops, pesti-cides used in apiculture and pesticide residues in hive products. We discuss the role that pesticides and their residues in hive products may play in colony collapse disorder and other colony problems. Although no single pesticide has been shown to cause colony collapse disorder, the additive and synergistic effects of multiple pesticide exposures may contribute to declining honey bee health.","2010","2022-11-02 15:21:50","2022-11-02T15:21:50Z","","312–331",NA,"3",41,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MWGG8XH5","journalArticle",2013,"Johnson, Reed M; Dahlgren, Lizette; Siegfried, Blair D; Ellis, Marion D","Effect of in-hive miticides on drone honey bee survival and sperm viability","Journal of Apicultural Research",NA,"0021-8839","10.3896/IBRA.1.52.2.18","https://www.tandfonline.com/doi/full/10.3896/IBRA.1.52.2.18","The survival of a honey bee colony depends, in part, on the reproductive success of the queen, which in turn depends on the viability of sperm produced by drones with which the queen mates. Colony success also depends on management of the ectoparasitic bee mite, Varroa destructor, which has historically been achieved using miticides that may also impact honey bee health. Previous work has demonstrated that the exposure of drone honey bees to miticidal Checkmite+™ strips (coumaphos) can result in decreased sperm viability. In this study we applied a range of sublethal doses of six miticides (tau-fluvalinate, coumaphos, fenpyroximate, amitraz, thymol and oxalic acid) to 1-4 day old adult drones. We returned drones to their home colony and re-collected them two to three weeks later to assess sperm viability using SYBR14 and propidium iodide stains. Counts of live and dead sperm were automated using the EBImage library in the R statistical environment. Sperm viability was not affected by any of the six miticide treatments, which suggests that acute miticide exposure in adult drones has little effect on drones' reproductive potential. However, two of the six miticides tested had an effect on drone recapture rate: fenpyroximate reduced and thymol increased the likelihood of drone recapture. These results suggest that future research on the effect of pesticides to drone sperm viability should focus on exposure in the immature stages and that beekeepers concerned with drone reproductive health may be able to safely apply miticides when only adult drones are present. Copyright © 2013 IBRA.","2013","2022-11-02 15:21:49","2022-11-02T15:21:49Z","","88–95",NA,"2",52,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GJ2ADXHQ","journalArticle",2006,"Johst, Karin; Drechsler, Martin; Thomas, Jeremy; Settele, Josef","Influence of mowing on the persistence of two endangered large blue butterfly species","Journal of Applied Ecology",NA,"00218901","10.1111/j.1365-2664.2006.01125.x","","*[Mowing influences 2 endangered butterfly species, Maculinea nausithous and Maculinea teleius, indirectly through altering the abundance of their sequential resources in meadows: Sanguisorba plants for oviposition and early larval development and Myrmica ant nests for later larval development and pupation.]","2006","2022-11-02 15:21:48","2022-11-02T15:21:48Z","","333–342",NA,"2",43,NA,NA,"",NA,NA,NA,NA,"","","",NA,"",NA,NA,"",NA,"",NA,NA,NA,"#nosource; Conservation; Intraspecific competition; Land use; Landscape; Maculinea nausithous; Maculinea teleius; Metapopulation","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
