"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"IX7NIUJQ","journalArticle",2012,"Michener, William K; Jones, Matthew B","Ecoinformatics: supporting ecology as a data-intensive scienceTrends in Ecology and Evolution,","Trends in Ecology and Evolution,","","","","http://www.sciencedirect.com/science/article/pii/S0169534711003399","",2012,"2022-10-11 14:38:42","2022-10-11T14:38:42Z",NA,"85–93","","2","27(2)",NA,NA,"Ecoinformatics",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JI6VIW89","journalArticle",2013,"Santini, Luca; Di Marcc, Moreno; Visconti, Piero; Baiserc, Daniele; Boitanl, Luigi; Rondinini, Carlo","Ecological correlates of dispersal distance in terrestrial mammals","Hystrix","","18255272","10.4404/hystrix-24.2-8746","http://www.italian-journal-of-mammalogy.it/article/view/8746/pdf","Dispersal distance in mammals is a fundamental information for several ecological and conservation applications. Although dispersal can depend on many intrinsic and extrinsic factors, in recent years many studies have shown that it scales with body size and home range area. However, the role of further ecological correlates to distance travelled is still unclear and the predictive models proposed so far have suffered from small sample size and lack of error estimates. This reduces the practical relevance of the models for ecological and conservation applications. We conducted a comprehensive meta-analysis on 327 studies on the dispersal of 164 mammal species, and performed linear and non-linear regression analyses to explore the relationships of body size and home range area with dispersal distance. We tested the effect of various life history traits and ecological factors on the relationships and performed a sensitivity analysis to evaluate the robustness of the models to sample size. The linear relationships of both home range and body size with dispersal distance were influenced by various life history traits and ecological factors. We developed allometric functions to estimate species dispersal distance based on different predictors and life history traits. Linear models representing the relationship between dispersal distance and body size or home range area received good support; however logistic models better approximates both relationships. Despite receiving less support than a logistic curve, a linear model between dispersal and home range is a good approximation for applicative purposes. Sensitivity analysis showed that our results are robust to subsampling of the original dataset until a sample of 40 species. Our empirical models have the potential to improve theoretical and applied population biology studies by extending the applicability and improving the accuracy of dispersal distance estimation to a large number of mammals. Download the complete issue.",2013,"2022-10-11 14:38:42","2022-10-11T14:38:42Z",NA,"181–186","","2","24",NA,NA,"",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Allometry; Body size; Dispersal; Ecological correlates; Home range; Mammals; Metapopulation; Non-linearity; Power law; Scaling; Sensitivity analysis; Vagility","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IQ2VJJM5","book",2013,"Trisurat, Y","Ecological Assessment: Assessing Condition and Trend of Ecosystem Service of Thadee watershed, Nakhon Si Thammarat Province (in Thai with English abstract). Final Report submitted to the ECO-BEST Project","","","","","","",2013,"2022-10-11 14:38:42","2022-10-11T14:38:42Z",NA,"","","","",NA,NA,"",NA,"",NA,NA,"Faculty of Forestry, Kasetsart University","Bangkok","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5JS4IPZE","bookSection",2007,"Pennington, Deana D.; Higgins, Dan; Peterson, A. Townsend; Jones, Matthew B.; Ludäscher, Bertram; Bowers, Shawn","Ecological niche modeling using the kepler workflow system","Workflows for e-Science: Scientific Workflows for Grids","978-1-84628-519-6","","","http://dx.doi.org/10.1007/978-1-84628-757-2_7","Changes in biodiversity have been linked to variations in climate and human activities [295]. These changes have implications for a wide range of socially relevant processes, including the spread of infectious disease, invasive species dynamics, and vegetation productivity [27, 70, 203, 291, 294, 376, 426]. Our understanding of biodiversity patterns and processes through space and time, scaling from genes to continents, is limited by our ability to analyze and synthesize multidimensional data effectively from sources as wide-ranging as field and laboratory experiments, satellite imagery, and simulation models. © 2007 Springer-Verlag London Limited.",2007,"2022-10-11 14:38:41","2022-10-11T14:38:41Z",NA,"91–108","","","",NA,NA,"",NA,"",NA,NA,"Springer London","","English",NA,NA,NA,NA,NA,NA,"DOI: 10.1007/978-1-84628-757-2_7",NA,NA,NA,"","/unread","Taylor, IanJ; Deelman, Ewa; Gannon, DennisB; Shields, Matthew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L5ELYNHY","book",2013,"Recknagel, F","Ecological Informatics","","","","","","Ecological Informatics, 5 (2010) 441-450. 10.1016/j.ecoinf.2010.06.003",2013,"2022-10-11 14:38:41","2022-10-11T14:38:41Z",NA,"","","","",NA,NA,"",NA,"",NA,NA,"Springer","Berlin, Heidelberg","",NA,NA,NA,NA,NA,NA,"DOI: 10.1007/978-3-662-05150-4",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X5PWHW8W","journalArticle",2011,"Gaikwad, Jitendra; Wilson, Peter D.; Ranganathan, Shoba","Ecological niche modeling of customary medicinal plant species used by Australian Aborigines to identify species-rich and culturally valuable areas for conservation","Ecological Modelling","","03043800","10.1016/j.ecolmodel.2011.07.005","http://linkinghub.elsevier.com/retrieve/pii/S0304380011003759","Customary medicinal plant species used by Australian Aborigines are disappearing rapidly with its associated knowledge, due to the loss of habitats. Conservation and protection of these species is important as they represent sources of novel therapeutic phytochemical compounds and are culturally valuable. Information on the spatial distribution and use of customary medicinal plants is often inadequate and fragmented, posing limitations on the identification and conservation of species-rich areas and culturally valuable habitats.In this study, the habitat suitability modeling program, MaxEnt, was used to predict the potential ecological niches of 431 customary medicinal plant species, based on bioclimatic variables. Specimen locality records were obtained from the Global Biodiversity Information Facility (GBIF) data portal and from Australia's Virtual Herbarium (AVH).Ecological niche models of 414 predicted species, which had 30 or more occurrence points, were used to produce maps indicating areas that were ecologically suitable for multiple species (concordance of high predicted ecological suitability) and having cultural values. For the concordance map, individual species niche models were thresholded and summed. To derive a map of culturally valuable areas, customary medicinal uses from Customary Medicinal Knowledgebase (CMKb) (www.biolinfo.org/cmkb) were used to weight individual species models, resulting in a value within each grid cell reflecting its cultural worth.Even though the available information is scarce and fragmented, our approach provides an opportunity to infer areas predicted to be suitable for multiple species (i.e. concordance hotspots) and to estimate the cultural value of a particular geographical area. Our results also indicate that to conserve bio-cultural diversity, comprehensive information and active participation of Aboriginal communities is indispensable. © 2011 Elsevier B.V.",2011,"2022-10-11 14:38:41","2022-10-11T14:38:41Z",NA,"3437–3443","","18","222",NA,NA,"",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Australian Aborigines; Conservation areas; Cultural value; Customary medicinal plants; Ecological niche modeling; Species richness","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6LVX2R3Z","journalArticle",2007,"Boitani, Luigi; Falcucci, Alessandra; Maiorano, Luigi; Rondinini, Carlo","Ecological networks as conceptual frameworks or operational tools in conservation","Conservation Biology","","08888892","10.1111/j.1523-1739.2007.00828.x","","The establishment of ecological networks (ENs) has been proposed as an ideal way to counteract the increasing fragmentation of natural ecosystems and as a necessary complement to the establishment of protected areas for biodiversity conservation. This conservation tool, which comprises core areas, corridors, and buffer areas, has attracted the attention of several national and European institutions. It is thought that ENs can connect habitat patches and thus enable species to move across unsuitable areas. In Europe, however, ENs are proposed as an oversimplification of complex ecological concepts, and we maintain that they are of limited use for biodiversity conservation for several reasons. The ENs are species specific and operate on species-dependent scales. In addition, the information needed for their implementation is only available for a handful of species. To overcome these limitations, ENs have been proposed on a landscape scale (and for selected ""focal"" species), but there is no indication that the structural composition of core areas, corridors, and buffer areas could ensure the functional connectivity and improve the viability of more than a few species. The theory behind ENs fails to provide sufficient practical information on how to build them (e.g., width, shape, structure, content). In fact, no EN so far has been validated in practice (ensuring connectivity and increasing overall biodiversity conservation), and there are no signs that validation will be possible in the near future. In view of these limitations, it is difficult to justify spending economic and political resources on building systems that are at best working hypotheses that cannot be evaluated on a practical level.",2007,"2022-10-11 14:38:41","2022-10-11T14:38:41Z",NA,"1414–1422","","6","21",NA,NA,"",NA,"",NA,NA,"","","English",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Connectivity; Core areas; Corridors; Ecological networks; Focal species","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGLVQCJA","journalArticle",2009,"Ings, Thomas C.; Montoya, José M.; Bascompte, Jordi; Blüthgen, Nico; Brown, Lee; Dormann, Carsten F.; Edwards, François; Figueroa, David; Jacob, Ute; Jones, J. Iwan; Lauridsen, Rasmus B.; Ledger, Mark E.; Lewis, Hannah M.; Olesen, Jens M.; Van Veen, F. J.Frank; Warren, Phil H.; Woodward, Guy","Ecological networks - Beyond food webs","Journal of Animal Ecology","","13652656","10.1111/j.1365-2656.2008.01460.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2008.01460.x/full","1. A fundamental goal of ecological network research is to understand how the complexity observed in nature can persist and how this affects ecosystem functioning. This is essential for us to be able to predict, and eventually mitigate, the consequences of increasing environmental perturbations such as habitat loss, climate change, and invasions of exotic species. 2. Ecological networks can be subdivided into three broad types: 'traditional' food webs, mutualistic networks and host-parasitoid networks. There is a recent trend towards cross-comparisons among network types and also to take a more mechanistic, as opposed to phenomenological, perspective. For example, analysis of network configurations, such as compartments, allows us to explore the role of co-evolution in structuring mutualistic networks and host-parasitoid networks, and of body size in food webs. 3. Research into ecological networks has recently undergone a renaissance, leading to the production of a new catalogue of evermore complete, taxonomically resolved, and quantitative data. Novel topological patterns have been unearthed and it is increasingly evident that it is the distribution of interaction strengths and the configuration of complexity, rather than just its magnitude, that governs network stability and structure. 4. Another significant advance is the growing recognition of the importance of individual traits and behaviour: interactions, after all, occur between individuals. The new generation of high-quality networks is now enabling us to move away from describing networks based on species-averaged data and to start exploring patterns based on individuals. Such refinements will enable us to address more general ecological questions relating to foraging theory and the recent metabolic theory of ecology. 5. We conclude by suggesting a number of 'dead ends' and 'fruitful avenues' for future research into ecological networks.",2009,"2022-10-11 14:38:41","2022-10-11T14:38:41Z",NA,"253–269","","1","78",NA,NA,"",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Ecological stoichiometry; Foraging theory; Host-parasitoid interactions; Metabolic theory of ecology; Mutualistic networks","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCVZT28F","journalArticle",2001,"Seiler, Andreas","Ecological Effects of Roads, A review.","Grimsö Wildlife Research Station, Dept. of Conservation Biology, University of Agricultural Sciences","","","","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.556.1764&rep=rep1&type=pdf","Habitat fragmentation due to transport infrastructure is receiving growing concern among ecologists and civil engineers. Much data has been gathered that gives evidence of the complex impact of infrastructure on wildlife and landscapes. Roads, railroads, and their traffic disrupt ecological processes; increase mortality in animals, lead to a degradation, loss and isolation of wildlife habitat, and cause a fragmentation of the landscape in a literal sense. Despite the quantity of empirical studies, it is still difficult to draw general conclusions or define impact thresholds that could guide evaluation work. The increasing public demand on mitigation and prevention of environmental impacts strongly requires the development of evaluation tools for civil engineers and ecologists to apply in the planning and construction of transport infrastructure. In this essay, I briefly review the scientific literature on the known ecological effects of transport infrastructure, with special focus on roads.",2001,"2022-10-11 14:38:41","2022-10-11T14:38:41Z",NA,"40","","","9",NA,NA,"",NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAEZXDMH","journalArticle",2011,"Wintle, Brendan A.; Bekessy, Sarah A.; Keith, David A.; Van Wilgen, Brian W.; Cabeza, Mar; Schröder, Boris; Carvalho, Silvia B.; Falcucci, Alessandra; Maiorano, Luigi; Regan, Tracey J.; Rondinini, Carlo; Boitani, Luigi; Possingham, Hugh P.","Ecological-economic optimization of biodiversity conservation under climate change","Nature Climate Change","","1758678X","10.1038/nclimate1227","","Substantial investment in climate change research has led to dire predictions of the impacts and risks to biodiversity. The Intergovernmental Panel on Climate Change fourth assessment report(1) cites 28,586 studies demonstrating significant biological changes in terrestrial systems(2). Already high extinction rates, driven primarily by habitat loss, are predicted to increase under climate change(3-6). Yet there is little specific advice or precedent in the literature to guide climate adaptation investment for conserving biodiversity within realistic economic constraints(7). Here we present a systematic ecological and economic analysis of a climate adaptation problem in one of the world's most species-rich and threatened ecosystems: the South African fynbos. We discover a counterintuitive optimal investment strategy that switches twice between options as the available adaptation budget increases. We demonstrate that optimal investment is nonlinearly dependent on available resources, making the choice of how much to invest as important as determining where to invest and what actions to take. Our study emphasizes the importance of a sound analytical framework for prioritizing adaptation investments(4). Integrating ecological predictions in an economic decision framework will help support complex choices between adaptation options under severe uncertainty. Our prioritization method can be applied at any scale to minimize species loss and to evaluate the robustness of decisions to uncertainty about key assumptions.",2011,"2022-10-11 14:38:40","2022-10-11T14:38:40Z",NA,"355–359","","7","1",NA,NA,"",NA,"",NA,NA,"","","English",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","/unread","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
